time,CCSM4,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR,MPI-ESM-LR,GFDL-ESM2G,CANESM2,GISS-E2-R,CNRM-CM5,CSIRO-MK3-6-0
2021.0,715061100000.0,727883200000.0,708606400000.0,718087800000.0,719392600000.0,717259150000.0,724913160000.0,716062100000.0,723739200000.0,711569050000.0
2022.0,706018600000.0,710959240000.0,688036100000.0,702444500000.0,703019300000.0,707987640000.0,715004800000.0,701941150000.0,711137170000.0,706489750000.0
2023.0,700516500000.0,704697700000.0,659940300000.0,703612600000.0,687895300000.0,706197000000.0,696443670000.0,688032200000.0,701672700000.0,700584400000.0
2024.0,689493840000.0,698402140000.0,637218060000.0,690429100000.0,679428550000.0,697212860000.0,687550000000.0,665168400000.0,689087400000.0,690776900000.0
2025.0,674608840000.0,694628700000.0,615428650000.0,673799860000.0,674528100000.0,689726200000.0,686121940000.0,647457200000.0,676894300000.0,673320500000.0
2026.0,657192900000.0,677751500000.0,587029540000.0,650511600000.0,667449300000.0,679505500000.0,679141440000.0,642741900000.0,670972900000.0,683787900000.0
2027.0,648122800000.0,664878060000.0,561203800000.0,632266600000.0,649696200000.0,676303300000.0,673709360000.0,626149750000.0,666506900000.0,676175940000.0
2028.0,638361100000.0,641455950000.0,538509200000.0,634690340000.0,632703750000.0,661286700000.0,661992800000.0,613973200000.0,653811600000.0,667016300000.0
2029.0,632290930000.0,627810000000.0,518285850000.0,627827150000.0,609097940000.0,652144400000.0,643820160000.0,607341500000.0,642793730000.0,651263900000.0
2030.0,621493550000.0,614668000000.0,494515100000.0,609315100000.0,591840350000.0,644268100000.0,625120500000.0,602895200000.0,626734700000.0,650131800000.0
2031.0,604893300000.0,596113360000.0,478940660000.0,595935200000.0,584858400000.0,631152250000.0,622206060000.0,591456760000.0,625146300000.0,628045100000.0
2032.0,593802400000.0,579481440000.0,457769880000.0,590417000000.0,566523300000.0,621124100000.0,614325300000.0,590182100000.0,608335560000.0,608821400000.0
2033.0,590202400000.0,561974000000.0,440320360000.0,571092570000.0,551585800000.0,603742900000.0,599669500000.0,575100940000.0,589358040000.0,592473300000.0
2034.0,575003160000.0,540161250000.0,417298970000.0,556492100000.0,553346200000.0,590495100000.0,588569600000.0,566996200000.0,580253250000.0,576035100000.0
2035.0,558953300000.0,534881760000.0,399329850000.0,545122680000.0,549706660000.0,582557430000.0,568866640000.0,558828900000.0,562556900000.0,551992030000.0
2036.0,542449340000.0,527383100000.0,381461430000.0,533041020000.0,538817040000.0,574336200000.0,547262630000.0,547745530000.0,544637750000.0,534924100000.0
2037.0,527979100000.0,524478700000.0,363364120000.0,518925750000.0,531114100000.0,558403160000.0,538402460000.0,547051080000.0,533504160000.0,523357320000.0
2038.0,523571560000.0,515209530000.0,345180050000.0,517944100000.0,525707050000.0,548567480000.0,522776700000.0,534392370000.0,516188960000.0,508131770000.0
2039.0,512931070000.0,506639350000.0,329310960000.0,518963130000.0,509741040000.0,532872230000.0,510748600000.0,531420480000.0,503399500000.0,500315030000.0
2040.0,501636430000.0,497238870000.0,314271730000.0,516281600000.0,494185840000.0,524416840000.0,515878400000.0,524009180000.0,483389930000.0,481155800000.0
2041.0,499204820000.0,481079560000.0,303272260000.0,510531630000.0,482940420000.0,514345700000.0,509505200000.0,518556420000.0,467472060000.0,470056040000.0
2042.0,491934880000.0,465527640000.0,292592030000.0,510078520000.0,477463350000.0,512225200000.0,494501630000.0,516027020000.0,457223600000.0,471569070000.0
2043.0,486615940000.0,454011200000.0,280065500000.0,506929250000.0,470572170000.0,502886470000.0,481091780000.0,501490200000.0,441624070000.0,466596230000.0
2044.0,480128760000.0,443600270000.0,266284940000.0,501366700000.0,468206060000.0,494288930000.0,467209320000.0,496215260000.0,430710230000.0,457572750000.0
2045.0,469773520000.0,444101850000.0,257237500000.0,498084580000.0,456983740000.0,489806330000.0,460774700000.0,494288440000.0,419888700000.0,449648530000.0
2046.0,460471700000.0,443551940000.0,246267270000.0,507549120000.0,449870760000.0,489754400000.0,454185320000.0,491200350000.0,411776480000.0,437337030000.0
2047.0,451819860000.0,432481040000.0,234226340000.0,502646500000.0,437280470000.0,485398970000.0,440297600000.0,480168440000.0,399778480000.0,447941800000.0
2048.0,445895200000.0,427350700000.0,223563660000.0,500643630000.0,425319730000.0,484666180000.0,432430100000.0,471411920000.0,393553800000.0,431798030000.0
2049.0,440150620000.0,429015300000.0,215480170000.0,489338960000.0,414480070000.0,486496700000.0,422879170000.0,464940560000.0,387537140000.0,414497000000.0
2050.0,432749350000.0,419511300000.0,204189970000.0,479486840000.0,412644740000.0,491739200000.0,416684830000.0,454355580000.0,383735100000.0,405963240000.0
2051.0,430020200000.0,428583300000.0,196647850000.0,473000600000.0,412785000000.0,489179300000.0,412902200000.0,448552530000.0,375060140000.0,391790230000.0
2052.0,428985880000.0,425666700000.0,191420800000.0,459297260000.0,406283700000.0,483755300000.0,406494100000.0,449227360000.0,370812700000.0,387625350000.0
2053.0,432569160000.0,421972970000.0,185322850000.0,442885440000.0,405614950000.0,479165550000.0,400566500000.0,445764240000.0,367893150000.0,404575780000.0
2054.0,421840160000.0,425781300000.0,181315580000.0,433597150000.0,407655000000.0,472887360000.0,393295800000.0,438015360000.0,356597100000.0,399966700000.0
2055.0,420971280000.0,423446020000.0,176585470000.0,418531340000.0,402836950000.0,472022250000.0,393456060000.0,433753300000.0,347567360000.0,393678130000.0
2056.0,410983530000.0,423519750000.0,170585930000.0,414889380000.0,404924370000.0,469556720000.0,381236200000.0,429031880000.0,342958870000.0,399816260000.0
2057.0,410894170000.0,425823570000.0,165348900000.0,423081500000.0,399582700000.0,464935300000.0,378775370000.0,422272430000.0,334496270000.0,387856900000.0
2058.0,414274100000.0,417156140000.0,160078220000.0,412352970000.0,390126700000.0,458061550000.0,382786960000.0,420918820000.0,328960200000.0,379930380000.0
2059.0,408033920000.0,409384980000.0,154896250000.0,414521500000.0,391494930000.0,453101700000.0,375308750000.0,415661230000.0,329180400000.0,379221020000.0
2060.0,409018800000.0,401455220000.0,151652250000.0,411012730000.0,388103300000.0,448453800000.0,362771450000.0,410279100000.0,329201680000.0,380442480000.0
2061.0,407205700000.0,392959560000.0,147448430000.0,417046000000.0,383829930000.0,446881400000.0,350574840000.0,411730150000.0,325064700000.0,385869740000.0
2062.0,406118900000.0,383664000000.0,144616770000.0,406349900000.0,381155500000.0,441994100000.0,339876600000.0,413330900000.0,323656940000.0,377074780000.0
2063.0,405176880000.0,379270040000.0,143350530000.0,398902170000.0,379165280000.0,439651270000.0,330190550000.0,414804400000.0,319846100000.0,379138970000.0
2064.0,401414230000.0,374936370000.0,142902210000.0,393410300000.0,381084700000.0,443470500000.0,325914700000.0,417648000000.0,312348670000.0,411895900000.0
2065.0,396748880000.0,371962970000.0,142710370000.0,389992380000.0,376522440000.0,441931530000.0,320550000000.0,411934620000.0,312094920000.0,410210200000.0
2066.0,390159000000.0,371333500000.0,141556660000.0,387919900000.0,373180660000.0,446045650000.0,313638800000.0,413371470000.0,317100360000.0,401366120000.0
2067.0,394412500000.0,368894150000.0,138792240000.0,378091770000.0,377068450000.0,449652500000.0,305497240000.0,409171330000.0,312668750000.0,392494650000.0
2068.0,388306670000.0,359757600000.0,136721530000.0,375197930000.0,375383750000.0,445749360000.0,299019830000.0,402361480000.0,311099560000.0,378963600000.0
2069.0,390156400000.0,358496860000.0,134591760000.0,371372200000.0,370141800000.0,444138800000.0,296486700000.0,401153600000.0,306148740000.0,367759900000.0
2070.0,391271250000.0,350361550000.0,133071050000.0,373629260000.0,368395900000.0,447848220000.0,288943670000.0,396727100000.0,298034660000.0,370002230000.0
2071.0,388005460000.0,345279630000.0,130308235000.0,369864640000.0,367585820000.0,451861050000.0,287110100000.0,399154870000.0,295080800000.0,364914740000.0
2072.0,391379680000.0,348791700000.0,126228080000.0,358298120000.0,369636870000.0,451428780000.0,284549780000.0,402005130000.0,294620200000.0,361913600000.0
2073.0,391135900000.0,355497800000.0,125157670000.0,351640620000.0,365181200000.0,447855170000.0,281959500000.0,403995100000.0,294200570000.0,357876330000.0
2074.0,385608550000.0,363234750000.0,124901830000.0,342661900000.0,366883340000.0,441145030000.0,278199570000.0,399088900000.0,288628340000.0,356594840000.0
2075.0,385007400000.0,361305000000.0,122989440000.0,345976800000.0,361913680000.0,451140550000.0,283428700000.0,396220100000.0,290007100000.0,350274750000.0
2076.0,387820900000.0,361672080000.0,120090310000.0,340604620000.0,364593150000.0,452265700000.0,279816470000.0,391032930000.0,287183600000.0,345245220000.0
2077.0,394738470000.0,358215800000.0,118809120000.0,337248200000.0,364133100000.0,447031150000.0,283299550000.0,384790100000.0,289888600000.0,340000180000.0
2078.0,389987200000.0,355645300000.0,119128180000.0,328052150000.0,364809160000.0,445057070000.0,286163240000.0,378509070000.0,287858030000.0,333920000000.0
2079.0,387416700000.0,358959550000.0,121678640000.0,327567640000.0,365900270000.0,453859970000.0,282325220000.0,377358400000.0,285623750000.0,334166230000.0
2080.0,384604000000.0,357568200000.0,120076640000.0,328010330000.0,359297300000.0,449850870000.0,278895260000.0,375346700000.0,280303760000.0,331976900000.0
2081.0,381119270000.0,355840750000.0,119453970000.0,324851800000.0,360674820000.0,447507200000.0,283281850000.0,379136200000.0,277381120000.0,330631150000.0
2082.0,381366040000.0,355708930000.0,118789685000.0,332933460000.0,360857400000.0,450501280000.0,288621630000.0,390014960000.0,278264480000.0,335630830000.0
2083.0,386759160000.0,350067130000.0,117749710000.0,327570060000.0,361415930000.0,447215570000.0,286399700000.0,389940740000.0,274844860000.0,333058240000.0
2084.0,389438800000.0,347760200000.0,118358820000.0,337611160000.0,356759140000.0,446674300000.0,290037960000.0,386202860000.0,272564040000.0,326998820000.0
2085.0,392767370000.0,347313200000.0,119420810000.0,340456000000.0,356812620000.0,445269280000.0,300778780000.0,387972330000.0,268117070000.0,331199280000.0
2086.0,391867140000.0,343678350000.0,117331440000.0,334604400000.0,365251100000.0,443370600000.0,303110160000.0,388036950000.0,268937380000.0,332433030000.0
2087.0,392304560000.0,334829220000.0,118577370000.0,334199030000.0,361967100000.0,432226930000.0,302898540000.0,386386760000.0,272365160000.0,321278280000.0
2088.0,389364400000.0,336464480000.0,117470265000.0,330618240000.0,368504180000.0,430924330000.0,309495300000.0,388348640000.0,267539500000.0,327324400000.0
2089.0,390012140000.0,336727300000.0,118943056000.0,323582620000.0,365627540000.0,434907580000.0,310441570000.0,402631460000.0,270068240000.0,330516370000.0
2090.0,393773580000.0,335559400000.0,118542270000.0,318696420000.0,361557950000.0,438219340000.0,306673420000.0,396813660000.0,268209200000.0,323736040000.0
2091.0,398786600000.0,340374850000.0,119931750000.0,304388930000.0,364691100000.0,440444600000.0,309742000000.0,400327900000.0,267764990000.0,325249430000.0
2092.0,395537450000.0,338004150000.0,120001560000.0,300230280000.0,361755740000.0,440198270000.0,315510230000.0,406701670000.0,264405470000.0,317375600000.0
2093.0,390506970000.0,338467500000.0,117855300000.0,301538700000.0,366937500000.0,440724780000.0,323322900000.0,405665800000.0,261935810000.0,318534300000.0
2094.0,384800560000.0,341684650000.0,118075700000.0,304414000000.0,367485520000.0,440714170000.0,320716670000.0,419689900000.0,261183160000.0,312619930000.0
2095.0,382427500000.0,340294200000.0,116644315000.0,307034260000.0,370870260000.0,434274730000.0,322849670000.0,426064100000.0,262226020000.0,301700680000.0
2096.0,376840650000.0,345347030000.0,115094690000.0,312644760000.0,372824150000.0,441718830000.0,320026400000.0,433806200000.0,261047600000.0,293737460000.0
2097.0,377333380000.0,339372240000.0,116164460000.0,315446950000.0,372000520000.0,440201150000.0,321988230000.0,440344480000.0,262008910000.0,291749360000.0
2098.0,384926400000.0,339587430000.0,115093840000.0,317546560000.0,371087150000.0,440428130000.0,319309020000.0,435802500000.0,259351000000.0,287918650000.0
2099.0,383535250000.0,337049320000.0,114758386000.0,324394450000.0,368506670000.0,442372420000.0,315300840000.0,450594050000.0,258560500000.0,282366970000.0
2100.0,386611970000.0,334779100000.0,115137830000.0,323640820000.0,367858580000.0,437042250000.0,311053500000.0,452480400000.0,259319000000.0,278284930000.0
