time,MPI-ESM-LR,IPSL-CM5A-LR,GFDL-ESM2G,GFDL-CM3,CCSM4,NORESM1-M,CESM1-CAM5,CSIRO-MK3-6-0,CNRM-CM5,GISS-E2-R,CANESM2
2021.0,718181000000.0,726597960000.0,716625540000.0,710514000000.0,728621060000.0,726144400000.0,720916200000.0,727309600000.0,726294400000.0,719364100000.0,727886500000.0
2022.0,712363300000.0,705801950000.0,697592900000.0,695164800000.0,708418600000.0,708028860000.0,711929300000.0,721468200000.0,711935850000.0,721791200000.0,712625160000.0
2023.0,718489600000.0,692099550000.0,680222650000.0,670897800000.0,698978900000.0,691493200000.0,703299200000.0,706804450000.0,697889200000.0,716738100000.0,700215200000.0
2024.0,709632200000.0,680235430000.0,668731700000.0,652372930000.0,678546600000.0,674592460000.0,694115240000.0,705997800000.0,689083400000.0,709357140000.0,695991600000.0
2025.0,698664750000.0,665561200000.0,653864340000.0,624805200000.0,669441000000.0,649819200000.0,690363000000.0,699359000000.0,683524100000.0,690670900000.0,670690640000.0
2026.0,695788700000.0,647588100000.0,647867660000.0,595216400000.0,676013500000.0,643735360000.0,683844570000.0,673569830000.0,667611800000.0,678579200000.0,646962940000.0
2027.0,683346400000.0,644433840000.0,630916900000.0,570734900000.0,655285500000.0,628829500000.0,669432550000.0,661556200000.0,647675000000.0,673291440000.0,626222700000.0
2028.0,673812450000.0,632912540000.0,619815700000.0,545601100000.0,655212350000.0,615931300000.0,657753960000.0,638826900000.0,624642560000.0,657105750000.0,602574550000.0
2029.0,658831000000.0,604002100000.0,610897800000.0,521013400000.0,634642960000.0,597097400000.0,648151500000.0,628778140000.0,606222900000.0,652589300000.0,593613750000.0
2030.0,638446340000.0,592751600000.0,598572100000.0,488687370000.0,618225500000.0,586541960000.0,629579250000.0,616881100000.0,597373700000.0,641837300000.0,590138500000.0
2031.0,634358140000.0,575743300000.0,591338800000.0,458901520000.0,611469950000.0,572154450000.0,625812960000.0,618502550000.0,585274360000.0,633079660000.0,583827060000.0
2032.0,615876500000.0,559328400000.0,567057840000.0,430074660000.0,598668500000.0,564275840000.0,607505900000.0,603484650000.0,571547300000.0,621235700000.0,566442700000.0
2033.0,613246800000.0,539839560000.0,555779700000.0,406314520000.0,587752730000.0,544914080000.0,596848350000.0,591591830000.0,559909630000.0,614440500000.0,569903000000.0
2034.0,612912460000.0,532320100000.0,548451550000.0,380674470000.0,570909500000.0,528086660000.0,574857400000.0,569211160000.0,554500100000.0,613218450000.0,551123300000.0
2035.0,594439960000.0,515496540000.0,539345500000.0,360202080000.0,559600400000.0,517489800000.0,549394580000.0,552444300000.0,545590700000.0,620680250000.0,538078500000.0
2036.0,582569300000.0,494800300000.0,522184360000.0,340285300000.0,550967640000.0,497750540000.0,543169740000.0,532212740000.0,535703000000.0,617867200000.0,527074560000.0
2037.0,565068000000.0,475177700000.0,505026120000.0,323573350000.0,544223760000.0,494428450000.0,529299730000.0,524840240000.0,520851750000.0,609309750000.0,511693720000.0
2038.0,548195700000.0,457505500000.0,499436680000.0,304371730000.0,522876850000.0,482716650000.0,514240540000.0,514149600000.0,510844470000.0,604385700000.0,496814850000.0
2039.0,538557000000.0,452797200000.0,493780730000.0,284424040000.0,516711380000.0,468974240000.0,500577040000.0,509043280000.0,501368980000.0,594474960000.0,479690620000.0
2040.0,518627660000.0,435016530000.0,477095660000.0,268467800000.0,512136580000.0,466436600000.0,491209980000.0,501618480000.0,485340250000.0,588811400000.0,477468400000.0
2041.0,496260000000.0,419741800000.0,467922800000.0,257492580000.0,506554100000.0,453678400000.0,473008670000.0,494502970000.0,474860450000.0,587579650000.0,471980340000.0
2042.0,484344920000.0,408676800000.0,460453050000.0,242867110000.0,492215070000.0,448174330000.0,460541000000.0,480539670000.0,464486760000.0,584054900000.0,459923100000.0
2043.0,471391630000.0,399044840000.0,447125260000.0,229463200000.0,483696800000.0,433194530000.0,448142150000.0,470567550000.0,447930170000.0,579191500000.0,449663000000.0
2044.0,458730500000.0,384536150000.0,440542130000.0,217626870000.0,472032250000.0,417914000000.0,431834100000.0,456831730000.0,437430880000.0,572263760000.0,449294700000.0
2045.0,437846280000.0,371851660000.0,430512100000.0,206721160000.0,463643600000.0,398748020000.0,421021300000.0,437975680000.0,429060500000.0,566450600000.0,443552400000.0
2046.0,426069330000.0,361687480000.0,417493450000.0,200540500000.0,459409300000.0,388079320000.0,413690360000.0,430629600000.0,417720800000.0,565020400000.0,439794930000.0
2047.0,419098800000.0,345500020000.0,406302330000.0,188877820000.0,455931760000.0,386297140000.0,398704870000.0,411595960000.0,405707800000.0,551353200000.0,424475360000.0
2048.0,411872300000.0,347696000000.0,399540550000.0,180983890000.0,437328050000.0,374760400000.0,399552280000.0,394860360000.0,395047040000.0,552309200000.0,422322470000.0
2049.0,392898640000.0,341198700000.0,388757880000.0,173656300000.0,429918550000.0,367312630000.0,395024040000.0,383968280000.0,379338720000.0,556194270000.0,407043300000.0
2050.0,382270400000.0,332981270000.0,386898300000.0,166715520000.0,421996700000.0,352726420000.0,386118900000.0,376228450000.0,365517400000.0,538727380000.0,398331380000.0
2051.0,373522330000.0,321208420000.0,374402840000.0,160625400000.0,415468360000.0,343938920000.0,374077330000.0,370727350000.0,355171660000.0,528515270000.0,382609060000.0
2052.0,357952230000.0,310055240000.0,365935230000.0,154574860000.0,405141950000.0,338391430000.0,362066640000.0,360802700000.0,346051670000.0,516943700000.0,370400330000.0
2053.0,345235060000.0,299679060000.0,356231380000.0,150542680000.0,396176300000.0,327976750000.0,353621050000.0,350975720000.0,335874520000.0,502697800000.0,364723440000.0
2054.0,334553940000.0,288994460000.0,348306240000.0,145262080000.0,391254600000.0,333279360000.0,344281120000.0,338777050000.0,331001140000.0,487889930000.0,352924630000.0
2055.0,324629300000.0,281843920000.0,346463800000.0,138506910000.0,381167570000.0,328816430000.0,331582600000.0,326355980000.0,323284960000.0,479116400000.0,348567960000.0
2056.0,314407500000.0,271459400000.0,338147900000.0,133919550000.0,366921740000.0,328849700000.0,322814400000.0,314575520000.0,311248880000.0,477430600000.0,333787630000.0
2057.0,306875470000.0,259640050000.0,329643620000.0,127420880000.0,358888500000.0,323816200000.0,317681100000.0,304033330000.0,306322640000.0,468814330000.0,324713250000.0
2058.0,300657540000.0,255360040000.0,323845460000.0,123563516000.0,356751770000.0,317027840000.0,311269230000.0,299508430000.0,299284430000.0,463999800000.0,315868300000.0
2059.0,292617950000.0,250380800000.0,320378300000.0,120428250000.0,351182800000.0,312464180000.0,306300130000.0,288734840000.0,295320100000.0,468077700000.0,304350040000.0
2060.0,283931340000.0,247342890000.0,311476940000.0,116402330000.0,341531500000.0,303652470000.0,296806150000.0,282111500000.0,286945100000.0,460409440000.0,298314760000.0
2061.0,276306560000.0,246293270000.0,310472400000.0,112805830000.0,330781800000.0,300140000000.0,289291630000.0,274627040000.0,281062970000.0,453576100000.0,290799850000.0
2062.0,275159800000.0,243965950000.0,304367600000.0,108821004000.0,322317600000.0,296598600000.0,286500320000.0,271084900000.0,276001550000.0,447004150000.0,279800400000.0
2063.0,267961320000.0,233010970000.0,302385660000.0,103684030000.0,313139720000.0,288758330000.0,277799000000.0,263997930000.0,277278920000.0,435318300000.0,264390670000.0
2064.0,263708130000.0,230609620000.0,299772970000.0,101613570000.0,305974670000.0,284092430000.0,271876600000.0,265365850000.0,271957400000.0,424734920000.0,253436120000.0
2065.0,255297750000.0,217492930000.0,294778140000.0,97870170000.0,297910080000.0,279168840000.0,265343610000.0,254863840000.0,271531300000.0,415220960000.0,246027900000.0
2066.0,250059650000.0,209577530000.0,291471850000.0,96741560000.0,291399630000.0,283887140000.0,258125640000.0,254302300000.0,271320270000.0,409692050000.0,241313730000.0
2067.0,242273960000.0,202296770000.0,285838300000.0,93453525000.0,283686860000.0,277764000000.0,251520940000.0,252153940000.0,264922860000.0,405634650000.0,238116810000.0
2068.0,237523710000.0,197637000000.0,283969450000.0,89689770000.0,282344160000.0,277150900000.0,243927480000.0,243502240000.0,262442730000.0,403569840000.0,233249420000.0
2069.0,233613700000.0,195256370000.0,273731300000.0,87822430000.0,282213060000.0,270259200000.0,241292950000.0,249236980000.0,255501500000.0,395270980000.0,228737240000.0
2070.0,238459040000.0,193435550000.0,270866530000.0,85839710000.0,272161500000.0,267936760000.0,235208310000.0,246467000000.0,254205480000.0,390520100000.0,222492600000.0
2071.0,230305270000.0,186525840000.0,269645170000.0,84100540000.0,270958920000.0,260301390000.0,229800820000.0,251948650000.0,248075080000.0,386442500000.0,218087000000.0
2072.0,232636070000.0,184549060000.0,266436890000.0,83002280000.0,266723030000.0,254129550000.0,226683060000.0,242633640000.0,246973330000.0,380619000000.0,214208270000.0
2073.0,231844610000.0,178393250000.0,261922590000.0,82836865000.0,261916100000.0,252182300000.0,224303220000.0,236258070000.0,243361020000.0,377279120000.0,213151840000.0
2074.0,231697740000.0,177718690000.0,256901920000.0,80605030000.0,258012090000.0,246399470000.0,217017800000.0,233786500000.0,244581740000.0,373127480000.0,215443550000.0
2075.0,224386040000.0,177281020000.0,255338560000.0,78934570000.0,254385180000.0,242418070000.0,213910340000.0,229434460000.0,241179330000.0,370071760000.0,211748260000.0
2076.0,221924300000.0,179960560000.0,254926730000.0,78726070000.0,249599020000.0,242238210000.0,213895610000.0,224413470000.0,239673080000.0,358877170000.0,209805120000.0
2077.0,220501360000.0,172821700000.0,253060240000.0,77935624000.0,250913570000.0,238664220000.0,208455040000.0,218435260000.0,234356440000.0,361777040000.0,206964210000.0
2078.0,217715310000.0,166489570000.0,251731210000.0,76143000000.0,249376360000.0,235709860000.0,208025120000.0,213282620000.0,231992180000.0,353086800000.0,197884350000.0
2079.0,215178530000.0,165858200000.0,243645140000.0,75530650000.0,244006850000.0,238525320000.0,206113830000.0,206903160000.0,226265630000.0,343827320000.0,196172320000.0
2080.0,211893060000.0,164543630000.0,242842710000.0,74106544000.0,238487180000.0,234876800000.0,206275700000.0,202436620000.0,223528030000.0,343520500000.0,192219220000.0
2081.0,208559460000.0,159658430000.0,242082280000.0,72707990000.0,236307050000.0,231136990000.0,202839180000.0,195243870000.0,221973500000.0,340880400000.0,190820610000.0
2082.0,207586050000.0,164938860000.0,239004900000.0,70910980000.0,238035910000.0,230643120000.0,199211840000.0,190485790000.0,217522650000.0,336000800000.0,191259210000.0
2083.0,208602280000.0,158451610000.0,238368050000.0,70401480000.0,237198720000.0,224769850000.0,194993640000.0,184519300000.0,210925110000.0,330715140000.0,195511760000.0
2084.0,207646050000.0,156093120000.0,238965820000.0,69866230000.0,230789400000.0,220001100000.0,190749380000.0,179617580000.0,204238980000.0,320939260000.0,193501130000.0
2085.0,204779130000.0,154503950000.0,243793670000.0,69455210000.0,227172910000.0,218497530000.0,185063160000.0,178021190000.0,200207220000.0,315090760000.0,188971320000.0
2086.0,202493690000.0,151022220000.0,242539990000.0,68875140000.0,224306940000.0,216873600000.0,180512700000.0,173351320000.0,199301320000.0,313925370000.0,185169820000.0
2087.0,199510050000.0,150801650000.0,241629270000.0,66723115000.0,225403940000.0,220550740000.0,180899640000.0,167830770000.0,194434250000.0,310477420000.0,187594900000.0
2088.0,192826410000.0,149498460000.0,237582610000.0,64089362000.0,224746820000.0,220608820000.0,176703370000.0,165729240000.0,189216160000.0,312066000000.0,193069220000.0
2089.0,190209520000.0,145647630000.0,237792460000.0,62946697000.0,223030300000.0,218816660000.0,173042630000.0,158647900000.0,187523370000.0,311499800000.0,187414180000.0
2090.0,189085910000.0,143755050000.0,232504520000.0,64297636000.0,222079140000.0,212711640000.0,168387080000.0,152706800000.0,186003110000.0,305069620000.0,189099520000.0
2091.0,186041070000.0,140134600000.0,228693740000.0,62553747000.0,223094420000.0,209921380000.0,165877810000.0,151288940000.0,183851480000.0,303342850000.0,185488790000.0
2092.0,182998340000.0,138846400000.0,228789260000.0,61984776000.0,223764040000.0,206748940000.0,162088620000.0,145609690000.0,184632640000.0,304128980000.0,182551870000.0
2093.0,186302070000.0,135272820000.0,228250630000.0,60880916000.0,223665620000.0,207686830000.0,156666480000.0,142882960000.0,183172190000.0,305015130000.0,178439180000.0
2094.0,187555840000.0,131448270000.0,229655920000.0,60418208000.0,223307940000.0,202384130000.0,158282000000.0,140365820000.0,181903490000.0,304440900000.0,177885200000.0
2095.0,186572400000.0,135221410000.0,227418770000.0,59561400000.0,217979830000.0,198466810000.0,154664760000.0,138224700000.0,180801470000.0,302251670000.0,174253180000.0
2096.0,184794780000.0,136305980000.0,225209730000.0,58033844000.0,216865880000.0,197090340000.0,153467370000.0,141198790000.0,180922800000.0,297027080000.0,169622100000.0
2097.0,182233800000.0,138304390000.0,221482880000.0,58839982000.0,215274950000.0,193669550000.0,153323590000.0,147207540000.0,178701710000.0,295200880000.0,174961230000.0
2098.0,179726220000.0,136926860000.0,224646180000.0,58677920000.0,214121940000.0,192390530000.0,149912060000.0,153569280000.0,178335600000.0,300176150000.0,171123280000.0
2099.0,179904050000.0,134307170000.0,222142270000.0,58647500000.0,212250070000.0,185325360000.0,148558970000.0,154405040000.0,175805940000.0,304066800000.0,167352980000.0
2100.0,180226230000.0,136522590000.0,224057720000.0,58999750000.0,211169460000.0,184837640000.0,148384100000.0,156945330000.0,172669120000.0,300234200000.0,164665110000.0
