time,CANESM5,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0
2044.0,26102458000.0,30007448000.0,30051047000.0,29234608000.0
2045.0,25672940000.0,29685651000.0,29755250000.0,28885854000.0
2046.0,25193124000.0,29243228000.0,29472537000.0,28459010000.0
2047.0,24617767000.0,28971440000.0,29190982000.0,28101163000.0
2048.0,24261050000.0,28628972000.0,28807213000.0,27534311000.0
2049.0,23711414000.0,28407146000.0,28534230000.0,27089265000.0
2050.0,23169202000.0,28011006000.0,28193516000.0,26660210000.0
2051.0,23165290000.0,27628255000.0,27906429000.0,26316440000.0
2052.0,22707220000.0,27350596000.0,27630870000.0,25842997000.0
2053.0,22205102000.0,27023383000.0,27282285000.0,25402323000.0
2054.0,22072463000.0,26750886000.0,27015627000.0,25145168000.0
2055.0,21398858000.0,26428393000.0,26698097000.0,24677759000.0
2056.0,20803369000.0,26342339000.0,26460168000.0,24384856000.0
2057.0,20297450000.0,25940510000.0,26108799000.0,23986553000.0
2058.0,19946656000.0,25668272000.0,25800750000.0,23707470000.0
2059.0,19552608000.0,25589785000.0,25476060000.0,23334636000.0
2060.0,19209064000.0,25110321000.0,25124014000.0,23001684000.0
2061.0,18868795000.0,24794710000.0,24824111000.0,22598791000.0
2062.0,18553320000.0,24485472000.0,24483367000.0,22434064000.0
2063.0,18213159000.0,24377444000.0,24185889000.0,22218270000.0
2064.0,17997732000.0,24079170000.0,23958215000.0,22085888000.0
2065.0,17595933000.0,23748407000.0,23747040000.0,21739800000.0
2066.0,17805496000.0,23433390000.0,23509117000.0,21553345000.0
2067.0,17283678000.0,23135828000.0,23241716000.0,21351987000.0
2068.0,16803277000.0,22900800000.0,23119663000.0,21131321000.0
2069.0,16427464000.0,22660366000.0,22880719000.0,20942658000.0
2070.0,16140737000.0,22412863000.0,22682087000.0,20736991000.0
2071.0,16478945000.0,22218594000.0,22429678000.0,20548624000.0
2072.0,16331199000.0,21894044000.0,22190936000.0,20416575000.0
2073.0,15705663000.0,21724450000.0,22026785000.0,20202586000.0
2074.0,15372840000.0,21563904000.0,21781864000.0,20084263000.0
2075.0,15051287000.0,22277292000.0,21674189000.0,19879846000.0
2076.0,15113856000.0,21269475000.0,21411117000.0,19710712000.0
2077.0,14754662000.0,20985324000.0,21239374000.0,19756923000.0
2078.0,15350244000.0,20845988000.0,21058167000.0,19487887000.0
2079.0,14430348000.0,20677827000.0,20894312000.0,19384248000.0
2080.0,14489539000.0,20477053000.0,20844737000.0,19210547000.0
2081.0,14069691000.0,20681860000.0,20542900000.0,19037330000.0
2082.0,13919645000.0,20829989000.0,20397093000.0,18908807000.0
2083.0,14345057000.0,20341502000.0,20157925000.0,18794630000.0
2084.0,16739377000.0,20019319000.0,20003631000.0,18618235000.0
2085.0,15246242000.0,19933300000.0,19811445000.0,18563836000.0
2086.0,14713891000.0,19773220000.0,19736783000.0,18496490000.0
2087.0,14336287000.0,20166621000.0,19637414000.0,18281142000.0
2088.0,18122654000.0,19857476000.0,19415826000.0,19217136000.0
2089.0,15451144000.0,19484674000.0,19297569000.0,18441705000.0
2090.0,14110320000.0,19479677000.0,19349944000.0,18206999000.0
2091.0,13744445000.0,19291187000.0,19537859000.0,18300238000.0
2092.0,13645172000.0,19187077000.0,19092920000.0,18525428000.0
2093.0,13589551000.0,19101583000.0,18875056000.0,18049247000.0
2094.0,13376532000.0,19062346000.0,18737310000.0,17992983000.0
2095.0,13255235000.0,18990256000.0,18630914000.0,18105045000.0
2096.0,13650556000.0,19008186000.0,18511323000.0,18167423000.0
2097.0,13177599000.0,18851709000.0,18383022000.0,17676722000.0
2098.0,13223721000.0,18617710000.0,18443907000.0,17677617000.0
2099.0,13064062000.0,18538490000.0,18383094000.0,17938162000.0
2100.0,13192407000.0,18493784000.0,18263079000.0,18280950000.0
