time,CSIRO-MK3-6-0,GISS-E2-R,CCSM4,IPSL-CM5A-LR,GFDL-CM3,NORESM1-M,GFDL-ESM2G
2020.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0
2021.0,87769506000.0,88710270000.0,87866130000.0,87493220000.0,87528340000.0,87515144000.0,88047880000.0
2022.0,87802860000.0,87612375000.0,87536680000.0,88989110000.0,87313510000.0,87400096000.0,87626950000.0
2023.0,87523885000.0,87733944000.0,87921170000.0,87489290000.0,87097240000.0,87295490000.0,87475855000.0
2024.0,87602830000.0,87478080000.0,87389290000.0,87136080000.0,86965620000.0,88248430000.0,87323525000.0
2025.0,87678450000.0,87050630000.0,87411840000.0,87068440000.0,86757384000.0,88793430000.0,87124664000.0
2026.0,88080200000.0,87419210000.0,87304856000.0,87154500000.0,86563190000.0,87484150000.0,86984490000.0
2027.0,87924785000.0,86841840000.0,88040070000.0,86903650000.0,86465544000.0,87109255000.0,86835225000.0
2028.0,87601170000.0,86836090000.0,87942480000.0,87354020000.0,86303300000.0,86777620000.0,86727940000.0
2029.0,88179835000.0,86878470000.0,87764660000.0,86473660000.0,86349000000.0,86467030000.0,86616646000.0
2030.0,88223195000.0,86661840000.0,87364040000.0,86574080000.0,85892735000.0,86243630000.0,86538070000.0
2031.0,87371640000.0,86304195000.0,87413875000.0,86298840000.0,85612320000.0,86080890000.0,86475080000.0
2032.0,87899430000.0,86338470000.0,87253940000.0,85891030000.0,85260800000.0,86166830000.0,86277280000.0
2033.0,87073880000.0,86078460000.0,87252440000.0,85805285000.0,85021600000.0,85891310000.0,86454180000.0
2034.0,88242810000.0,86068180000.0,86942015000.0,85408020000.0,84678100000.0,85779464000.0,86467470000.0
2035.0,87554440000.0,85881660000.0,86733790000.0,85043020000.0,84309880000.0,85310920000.0,86542260000.0
2036.0,88067940000.0,85806380000.0,88652005000.0,84770595000.0,83979990000.0,85372840000.0,85978235000.0
2037.0,87248780000.0,85563750000.0,87481246000.0,86701680000.0,83534410000.0,84909670000.0,86778260000.0
2038.0,86913370000.0,85372650000.0,86916960000.0,84436345000.0,83143480000.0,84666270000.0,85929550000.0
2039.0,86806780000.0,85126100000.0,86427370000.0,84021480000.0,82813650000.0,84572004000.0,85846060000.0
2040.0,86542470000.0,85063740000.0,86339120000.0,83494950000.0,82333590000.0,84177810000.0,85631400000.0
2041.0,86314730000.0,85062705000.0,86123364000.0,83423500000.0,81906524000.0,84319940000.0,85434550000.0
2042.0,86427640000.0,84738380000.0,85788525000.0,82907820000.0,81451920000.0,83667710000.0,85561340000.0
2043.0,86643700000.0,85151640000.0,85587730000.0,82514010000.0,80990220000.0,83198755000.0,84846110000.0
2044.0,86357260000.0,84595016000.0,85518670000.0,82277570000.0,80539025000.0,82847285000.0,84704750000.0
2045.0,86184310000.0,84430905000.0,85211410000.0,81860910000.0,80213570000.0,82648480000.0,84350540000.0
2046.0,86274466000.0,84077570000.0,85106730000.0,81802640000.0,79584690000.0,82191110000.0,84425310000.0
2047.0,85923210000.0,83783470000.0,85291560000.0,81324930000.0,79056230000.0,81956650000.0,84684140000.0
2048.0,86146830000.0,83827360000.0,84919070000.0,80676470000.0,78521180000.0,81511416000.0,84331780000.0
2049.0,86105285000.0,83352600000.0,84534790000.0,80471840000.0,77923060000.0,81096370000.0,84826685000.0
2050.0,85804820000.0,83000810000.0,84182840000.0,79711265000.0,77547300000.0,80605760000.0,83926770000.0
2051.0,85950595000.0,82739085000.0,83980720000.0,79194350000.0,76831090000.0,80346350000.0,85689080000.0
2052.0,85675794000.0,82549390000.0,83831500000.0,79156410000.0,76143710000.0,80204750000.0,83992210000.0
2053.0,85532510000.0,83558924000.0,83546145000.0,79316290000.0,75431264000.0,79552954000.0,83724075000.0
2054.0,85376250000.0,82247360000.0,83136260000.0,79855730000.0,74849050000.0,79024914000.0,83221670000.0
2055.0,85354400000.0,82046075000.0,82836144000.0,78834670000.0,74181510000.0,78425740000.0,82867356000.0
2056.0,85176610000.0,82168670000.0,82980635000.0,77714250000.0,73501370000.0,77955340000.0,82617900000.0
2057.0,84976450000.0,81545495000.0,82398765000.0,77128930000.0,72794850000.0,77454610000.0,82485740000.0
2058.0,84745220000.0,81131530000.0,82052375000.0,77529700000.0,72057520000.0,76950500000.0,82231360000.0
2059.0,84616540000.0,80803996000.0,81705400000.0,77511060000.0,71322210000.0,76426590000.0,82431230000.0
2060.0,84581196000.0,80654120000.0,81359850000.0,76548370000.0,70880690000.0,76252045000.0,81567695000.0
2061.0,84283515000.0,80467750000.0,81113300000.0,76119930000.0,70330730000.0,75447130000.0,82163600000.0
2062.0,84362550000.0,80285204000.0,80700470000.0,75627454000.0,69743804000.0,74892710000.0,81168605000.0
2063.0,84125350000.0,79911720000.0,80502284000.0,74918840000.0,69071340000.0,74429145000.0,81042130000.0
2064.0,83794140000.0,80130840000.0,79921490000.0,74335310000.0,68296348000.0,73856650000.0,80498590000.0
2065.0,83531430000.0,79426740000.0,79516100000.0,74888760000.0,67665363000.0,73296404000.0,80202220000.0
2066.0,83717780000.0,80001450000.0,79185420000.0,74300150000.0,67048747000.0,72758804000.0,79998665000.0
2067.0,83470920000.0,79401900000.0,78844720000.0,73698470000.0,66475446000.0,72179260000.0,79767610000.0
2068.0,83659104000.0,78838330000.0,78455900000.0,72925544000.0,65761722000.0,71726500000.0,79302754000.0
2069.0,83216650000.0,78817395000.0,78159590000.0,72730950000.0,65247674000.0,71217840000.0,78963170000.0
2070.0,83012390000.0,78275084000.0,78281570000.0,72372120000.0,64496850000.0,70926280000.0,78875420000.0
2071.0,82794260000.0,78016610000.0,77450070000.0,71987270000.0,63938970000.0,70089466000.0,78748270000.0
2072.0,82608770000.0,78076396000.0,77496620000.0,71816210000.0,63312888000.0,69520370000.0,78204540000.0
2073.0,82972156000.0,77596344000.0,76750450000.0,71355924000.0,62682972000.0,69248670000.0,77913145000.0
2074.0,82666850000.0,77456450000.0,76769050000.0,70772100000.0,61852320000.0,68598858000.0,78267270000.0
2075.0,82206030000.0,77070960000.0,76288745000.0,70280700000.0,61189603000.0,67909104000.0,79322170000.0
2076.0,82000690000.0,77197386000.0,75578640000.0,69796710000.0,60388620000.0,67229880000.0,77032320000.0
2077.0,81758120000.0,76807290000.0,75180180000.0,69674090000.0,59694404000.0,66550088000.0,76593660000.0
2078.0,81333380000.0,77117140000.0,74679320000.0,70381800000.0,58967384000.0,65841940000.0,76223226000.0
2079.0,80988300000.0,76166324000.0,74287980000.0,69383960000.0,58221253000.0,65965224000.0,75784086000.0
2080.0,80982000000.0,77040820000.0,74056130000.0,68395420000.0,57424090000.0,65242087000.0,76330010000.0
2081.0,80635260000.0,75865990000.0,73801015000.0,67957735000.0,56675607000.0,64261337000.0,75461300000.0
2082.0,80656730000.0,75334290000.0,73114680000.0,67372958000.0,55852940000.0,63793234000.0,75054105000.0
2083.0,80055710000.0,75126180000.0,72690790000.0,66860696000.0,54944973000.0,63091278000.0,76421340000.0
2084.0,79850260000.0,74741195000.0,72312440000.0,66464360000.0,54111126000.0,62278173000.0,74651600000.0
2085.0,79436956000.0,74496990000.0,71666024000.0,66497090000.0,53165232000.0,61646000000.0,74228720000.0
2086.0,81090040000.0,74620570000.0,71432640000.0,65655450000.0,52354363000.0,60903272000.0,75333540000.0
2087.0,79945710000.0,75612870000.0,70934610000.0,65135452000.0,51378650000.0,60362502000.0,73938050000.0
2088.0,78995915000.0,74946690000.0,70557940000.0,64905335000.0,50606750000.0,60098716000.0,73340020000.0
2089.0,78424400000.0,74836850000.0,70274100000.0,64497922000.0,49829800000.0,59692390000.0,73031530000.0
2090.0,78005590000.0,74059450000.0,69800200000.0,64369566000.0,49003405000.0,58735080000.0,73975680000.0
2091.0,77557290000.0,75684630000.0,69323250000.0,64067715000.0,48089793000.0,58040074000.0,72505320000.0
2092.0,77570270000.0,73541720000.0,68909670000.0,63374365000.0,47405916000.0,57390750000.0,71982080000.0
2093.0,76959425000.0,73372300000.0,68484653000.0,63846105000.0,46530404000.0,56771370000.0,71558340000.0
2094.0,76364464000.0,72856060000.0,67953345000.0,62315550000.0,45650207000.0,56213620000.0,71215790000.0
2095.0,76104270000.0,72279360000.0,67436143000.0,61937414000.0,45543490000.0,55735775000.0,71118950000.0
2096.0,76018350000.0,71982604000.0,66951120000.0,61394354000.0,44640580000.0,55101178000.0,70581250000.0
2097.0,75470995000.0,71661160000.0,66518010000.0,61007757000.0,43778564000.0,54528737000.0,70207850000.0
2098.0,74817800000.0,71489070000.0,66166997000.0,61399940000.0,43090980000.0,53910725000.0,69827895000.0
2099.0,75276760000.0,71062150000.0,65805672000.0,60508350000.0,42602398000.0,53380485000.0,69406300000.0
2100.0,74629960000.0,70785150000.0,65653494000.0,59790380000.0,41961935000.0,52689478000.0,69163430000.0
