time,CANESM2,NORESM1-M,CCSM4,GFDL-CM3,CSIRO-MK3-6-0,MPI-ESM-LR,CNRM-CM5,GFDL-ESM2G,IPSL-CM5A-LR,GISS-E2-R
2016.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0
2017.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0
2018.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0
2019.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0
2020.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0
2021.0,2043888000.0,2053087000.0,2063640300.0,2042717000.0,2059748000.0,2038080500.0,2048889300.0,2061025000.0,2054675600.0,2064659200.0
2022.0,2008860300.0,2025569200.0,2023046000.0,1987982300.0,2015609300.0,2001800600.0,2006650800.0,2038736400.0,2044383400.0,2038728800.0
2023.0,1965864700.0,1992358800.0,1994479000.0,1923883400.0,1947157800.0,1969757400.0,1968195000.0,2000884500.0,1990280200.0,2002600700.0
2024.0,1917207800.0,1960422900.0,1982623500.0,1871258800.0,1877862900.0,1931743000.0,1935977100.0,1962624000.0,1940584800.0,1968769000.0
2025.0,1890244100.0,1941831600.0,1949616500.0,1816409300.0,1814443800.0,1895447700.0,1901140400.0,1943330600.0,1901854500.0,1941434600.0
2026.0,1859307100.0,1912333000.0,1915504000.0,1743507800.0,1754566900.0,1891341700.0,1899443200.0,1910651900.0,1864171600.0,1909485600.0
2027.0,1817141000.0,1890347400.0,1893981000.0,1666307600.0,1694467200.0,1851702300.0,1846694100.0,1897340700.0,1821193100.0,1887490800.0
2028.0,1773814900.0,1860714800.0,1882710000.0,1570630100.0,1608541300.0,1820065500.0,1821473500.0,1867119100.0,1761655300.0,1850545200.0
2029.0,1721917700.0,1823707300.0,1870541600.0,1530753800.0,1554107900.0,1779095800.0,1785733900.0,1830981600.0,1712215800.0,1828706400.0
2030.0,1663802600.0,1799389300.0,1838797800.0,1458604500.0,1548422700.0,1759721500.0,1763426000.0,1799479800.0,1668458000.0,1803539000.0
2031.0,1625848700.0,1773585200.0,1811069600.0,1382708400.0,1516693000.0,1721321000.0,1726360600.0,1785084800.0,1629644900.0,1785965400.0
2032.0,1599546100.0,1738853200.0,1799004700.0,1329518800.0,1453358200.0,1664087700.0,1679814000.0,1761134500.0,1576734500.0,1759602000.0
2033.0,1557210800.0,1705075600.0,1781543300.0,1259206300.0,1396272900.0,1627583400.0,1654414000.0,1735318800.0,1522402300.0,1724358000.0
2034.0,1503022200.0,1661795700.0,1776605200.0,1202493600.0,1328931600.0,1629366400.0,1615356400.0,1715477000.0,1469233300.0,1693819800.0
2035.0,1442845800.0,1634080100.0,1762548700.0,1164356100.0,1287424100.0,1587466500.0,1585859300.0,1719932400.0,1436395400.0,1670729300.0
2036.0,1396143900.0,1600500700.0,1739034800.0,1117900000.0,1255500200.0,1547991600.0,1562926300.0,1691552300.0,1412534900.0,1654016000.0
2037.0,1352949100.0,1572188800.0,1706302300.0,1044351100.0,1227972900.0,1500880900.0,1523049600.0,1675222000.0,1397375700.0,1634456400.0
2038.0,1293992200.0,1562172800.0,1692539900.0,1002975360.0,1180502100.0,1447570800.0,1498589600.0,1661924600.0,1411653600.0,1629152100.0
2039.0,1253103600.0,1547069600.0,1684761700.0,962598800.0,1118913700.0,1400429200.0,1464388700.0,1641354000.0,1358292700.0,1612340600.0
2040.0,1225542000.0,1548477000.0,1658530700.0,927887040.0,1068558100.0,1368582500.0,1435192400.0,1625686700.0,1311642500.0,1586745300.0
2041.0,1179417200.0,1529643600.0,1630611100.0,900054660.0,1013259970.0,1343806000.0,1395516200.0,1609867100.0,1279117600.0,1577812100.0
2042.0,1138380800.0,1497375400.0,1620877800.0,855362100.0,970921800.0,1323951400.0,1355432600.0,1589920500.0,1263210800.0,1546130600.0
2043.0,1108547700.0,1478090900.0,1604656300.0,830159500.0,928853100.0,1288084700.0,1318508400.0,1588562600.0,1226118900.0,1534020200.0
2044.0,1065132160.0,1456604300.0,1587948500.0,807924100.0,884654000.0,1236458500.0,1269794300.0,1575539500.0,1203716700.0,1521071200.0
2045.0,1032253440.0,1432579300.0,1575156600.0,791957700.0,843456100.0,1177637000.0,1249168400.0,1568030300.0,1168562200.0,1500161900.0
2046.0,1024782800.0,1427629000.0,1559857500.0,769668740.0,810273660.0,1184689400.0,1213056300.0,1562770800.0,1154767600.0,1490138900.0
2047.0,998626560.0,1404566700.0,1540442800.0,743581500.0,785879040.0,1145914400.0,1178007400.0,1544526500.0,1113430000.0,1472305900.0
2048.0,974778600.0,1383685900.0,1511701500.0,720592260.0,787066100.0,1109474400.0,1152347600.0,1529257500.0,1105291400.0,1462309200.0
2049.0,953519550.0,1374501800.0,1500364900.0,713228400.0,774611460.0,1088720100.0,1125348400.0,1515514900.0,1080644400.0,1454950100.0
2050.0,920575040.0,1378270200.0,1485333000.0,701972160.0,738450400.0,1061937540.0,1111018800.0,1508947100.0,1062938100.0,1441689900.0
2051.0,885540860.0,1368469100.0,1465732400.0,696887360.0,722257860.0,1052819460.0,1083863600.0,1492496100.0,1055546400.0,1446981400.0
2052.0,876157900.0,1351379000.0,1464061600.0,683604160.0,699956500.0,1050532800.0,1076062100.0,1480387100.0,1059289540.0,1443739600.0
2053.0,867625300.0,1330104700.0,1458234000.0,663835200.0,710648500.0,1057520450.0,1059754560.0,1470942600.0,1042856700.0,1448279900.0
2054.0,841552060.0,1314082600.0,1436447200.0,663539600.0,709204900.0,1049973760.0,1036112900.0,1457097600.0,1027483900.0,1428860700.0
2055.0,826215200.0,1331261000.0,1423658400.0,654324200.0,686731140.0,1046895040.0,1024861400.0,1448775700.0,1007500500.0,1419653800.0
2056.0,811037440.0,1308955300.0,1416512000.0,652309400.0,675481340.0,1050432060.0,1011148740.0,1440700200.0,990495300.0,1419332200.0
2057.0,801157760.0,1296899600.0,1398110300.0,641478900.0,669102300.0,1056358460.0,996871800.0,1434256100.0,980484700.0,1413631400.0
2058.0,800742850.0,1295232400.0,1392265600.0,633736700.0,664600400.0,1071679700.0,992542300.0,1424995000.0,977731140.0,1401958500.0
2059.0,777639600.0,1275340900.0,1409034200.0,630678200.0,650285700.0,1102579500.0,971687400.0,1408979700.0,1072217500.0,1393801500.0
2060.0,766242940.0,1262305300.0,1395633400.0,628423230.0,644093200.0,1085745800.0,960960100.0,1400830800.0,1182325500.0,1385421700.0
2061.0,756209500.0,1245892500.0,1384125300.0,616595700.0,645707500.0,1085585500.0,951917300.0,1404393700.0,1088313200.0,1383946100.0
2062.0,746215550.0,1251323800.0,1373686800.0,614312260.0,659395460.0,1057240060.0,934490240.0,1397673500.0,1019112900.0,1375497100.0
2063.0,750119200.0,1252461700.0,1362762000.0,601981600.0,641046200.0,1043122000.0,927723900.0,1390416600.0,998403000.0,1374392600.0
2064.0,740121700.0,1233104600.0,1358217000.0,593989100.0,628988540.0,1030292200.0,920818400.0,1389683500.0,1029808700.0,1365566200.0
2065.0,742197000.0,1225829500.0,1354103000.0,623919940.0,616745660.0,1027075800.0,917459460.0,1417119600.0,992354000.0,1376278700.0
2066.0,737671400.0,1224721200.0,1342982300.0,588528400.0,610320900.0,1013161540.0,909483400.0,1417272700.0,976226300.0,1394737400.0
2067.0,721612800.0,1228555900.0,1347775000.0,578795400.0,603509000.0,1005904100.0,900026600.0,1414682900.0,965230000.0,1400430800.0
2068.0,710904300.0,1232083300.0,1400568200.0,570794240.0,591893100.0,970888640.0,893689900.0,1439328000.0,945073900.0,1384447400.0
2069.0,719921800.0,1220291200.0,1357060200.0,558178700.0,585383940.0,949422850.0,900326900.0,1453372700.0,935808300.0,1379510300.0
2070.0,733731000.0,1210363100.0,1358355600.0,552551040.0,572432800.0,976949760.0,907193700.0,1494574700.0,918764350.0,1412573200.0
2071.0,709567200.0,1207687600.0,1375265700.0,540825300.0,559278340.0,1092646900.0,928640400.0,1484952800.0,901835140.0,1387067400.0
2072.0,707551360.0,1209651700.0,1367551400.0,533206600.0,555827140.0,1068091500.0,903649500.0,1590333700.0,894024770.0,1387299500.0
2073.0,705427700.0,1198293400.0,1364586100.0,533640100.0,601124860.0,1029623200.0,896580000.0,1562246800.0,881149760.0,1402523300.0
2074.0,701717570.0,1246296200.0,1439997400.0,526443360.0,564104800.0,1014589100.0,892930600.0,1563704000.0,859587100.0,1396958100.0
2075.0,737348400.0,1238966900.0,1371209500.0,518103740.0,543856060.0,988162100.0,890404400.0,1612615600.0,971908350.0,1387841500.0
2076.0,734081000.0,1248326800.0,1364070700.0,528618940.0,533349920.0,1002131840.0,884981700.0,1756755600.0,900622850.0,1389798100.0
2077.0,724026600.0,1229866800.0,1440976000.0,517432500.0,539313300.0,1019497500.0,886458600.0,1618512500.0,866566000.0,1418967000.0
2078.0,742542850.0,1223362000.0,1376614000.0,510388030.0,523011620.0,1034356500.0,882766700.0,1645011300.0,895162800.0,1394596000.0
2079.0,746096200.0,1239323800.0,1353911700.0,510575650.0,515774700.0,1017501440.0,874676500.0,1688771700.0,883202800.0,1444381700.0
2080.0,732488700.0,1238628200.0,1387988100.0,502438200.0,514930530.0,1000351550.0,867881900.0,1697921500.0,894968060.0,1452305300.0
2081.0,731637100.0,1236181100.0,1392084000.0,495115200.0,514904100.0,990515460.0,875871400.0,1679076500.0,891225340.0,1416727600.0
2082.0,790044400.0,1247074200.0,1380532100.0,491714270.0,506178750.0,979490300.0,872647100.0,1720918700.0,903803140.0,1412887400.0
2083.0,745456600.0,1224447700.0,1357099800.0,492938180.0,496883200.0,1050244350.0,862111170.0,1679553900.0,892437250.0,1437025900.0
2084.0,736840770.0,1215874600.0,1359472800.0,485544130.0,489101950.0,1101534000.0,878875600.0,1737604900.0,881010900.0,1430292600.0
2085.0,743165100.0,1213006100.0,1361919100.0,481502750.0,507598900.0,1196225300.0,869363100.0,1712256000.0,874784000.0,1431968300.0
2086.0,743341200.0,1204971300.0,1359741700.0,474599900.0,512698100.0,1154286700.0,873340800.0,1693385500.0,906058240.0,1442342900.0
2087.0,735560700.0,1198505600.0,1365748400.0,477312800.0,480278460.0,1114649200.0,870691200.0,1678912600.0,881149800.0,1434957800.0
2088.0,736932100.0,1219956100.0,1363896000.0,480622660.0,468320960.0,1085785500.0,880980700.0,1690689700.0,865846460.0,1496448500.0
2089.0,729998900.0,1198606000.0,1354302800.0,476068830.0,463742880.0,1081595900.0,883944000.0,1836581800.0,860086000.0,1512302300.0
2090.0,724132860.0,1189955300.0,1417156400.0,469491650.0,457413120.0,1099330000.0,904007550.0,1773465100.0,866483400.0,1501509500.0
2091.0,717681150.0,1220860300.0,1586165100.0,462222600.0,457677200.0,1107896700.0,886901950.0,1734663600.0,861631900.0,1484891900.0
2092.0,733674600.0,1211155500.0,1442442500.0,459611600.0,452727580.0,1100945200.0,885704260.0,1729322100.0,875085100.0,1482104600.0
2093.0,754202940.0,1193808500.0,1398393100.0,454478530.0,448022750.0,1090277400.0,880468200.0,1715727200.0,844809700.0,1480985200.0
2094.0,734201500.0,1202946200.0,1394709200.0,448084400.0,460063400.0,1111404700.0,880557300.0,1756186100.0,862439360.0,1478550900.0
2095.0,717083800.0,1199718500.0,1381688000.0,444180860.0,511037220.0,1129932800.0,885918700.0,1754735700.0,836093800.0,1498837500.0
2096.0,709650240.0,1193745300.0,1367513000.0,440853700.0,464482080.0,1132927400.0,875124400.0,1732099700.0,829319400.0,1518330000.0
2097.0,707407600.0,1187572400.0,1387598200.0,436664670.0,450815740.0,1123576300.0,869871600.0,1757560600.0,848438200.0,1500281300.0
2098.0,701510000.0,1184108300.0,1371182200.0,430254900.0,440141440.0,1105583100.0,869418430.0,1736379400.0,822648400.0,1494591600.0
2099.0,695070800.0,1181094700.0,1372843300.0,425765100.0,437398900.0,1094478700.0,873932800.0,1756992500.0,820856060.0,1501222800.0
2100.0,690992960.0,1175877000.0,1448985000.0,422975520.0,498716540.0,1150649200.0,883487940.0,1731953400.0,819365400.0,1499987200.0
