time,CCSM4,GISS-E2-R,CANESM2,GFDL-CM3,CNRM-CM5,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,IPSL-CM5A-LR,CSIRO-MK3-6-0
2013.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0
2014.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0
2015.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0
2016.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0
2017.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0
2018.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0
2019.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0
2020.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0
2021.0,26796770000000.0,26799782000000.0,26769986000000.0,26680597000000.0,26714866000000.0,26716090000000.0,26759485000000.0,26763575000000.0,26763676000000.0,26792222000000.0
2022.0,26778964000000.0,26747894000000.0,26698676000000.0,26614314000000.0,26583482000000.0,26701843000000.0,26753400000000.0,26743438000000.0,26698307000000.0,26750648000000.0
2023.0,26756552000000.0,26745623000000.0,26667668000000.0,26536177000000.0,26542676000000.0,26584235000000.0,26718597000000.0,26714768000000.0,26645540000000.0,26766763000000.0
2024.0,26741746000000.0,26732363000000.0,26603336000000.0,26447603000000.0,26530533000000.0,26452852000000.0,26675992000000.0,26701749000000.0,26576860000000.0,26730590000000.0
2025.0,26680182000000.0,26623456000000.0,26521322000000.0,26396785000000.0,26525703000000.0,26368104000000.0,26671132000000.0,26640057000000.0,26521396000000.0,26646097000000.0
2026.0,26614770000000.0,26622800000000.0,26455025000000.0,26289840000000.0,26546120000000.0,26335108000000.0,26647751000000.0,26601400000000.0,26417979000000.0,26543920000000.0
2027.0,26521306000000.0,26670696000000.0,26442880000000.0,26177104000000.0,26484431000000.0,26276381000000.0,26635143000000.0,26552075000000.0,26407099000000.0,26472983000000.0
2028.0,26434985000000.0,26578965000000.0,26357453000000.0,26012413000000.0,26372586000000.0,26182983000000.0,26532517000000.0,26514888000000.0,26356925000000.0,26415584000000.0
2029.0,26402905000000.0,26472033000000.0,26278728000000.0,25919770000000.0,26305328000000.0,26089477000000.0,26456382000000.0,26507594000000.0,26195553000000.0,26398780000000.0
2030.0,26339750000000.0,26420804000000.0,26234017000000.0,25811072000000.0,26264195000000.0,26024073000000.0,26423352000000.0,26448652000000.0,26050617000000.0,26377340000000.0
2031.0,26319337000000.0,26447358000000.0,26085668000000.0,25689768000000.0,26217854000000.0,25969237000000.0,26448386000000.0,26412317000000.0,25969264000000.0,26269874000000.0
2032.0,26291389000000.0,26285982000000.0,25974737000000.0,25660928000000.0,26251230000000.0,25917984000000.0,26354056000000.0,26394164000000.0,25829912000000.0,26231794000000.0
2033.0,26239033000000.0,26260604000000.0,25897252000000.0,25563850000000.0,26258444000000.0,25916231000000.0,26230204000000.0,26397104000000.0,25778320000000.0,26195980000000.0
2034.0,26233377000000.0,26198743000000.0,25780763000000.0,25497830000000.0,26231792000000.0,25840526000000.0,26242183000000.0,26370713000000.0,25659143000000.0,26200393000000.0
2035.0,26234734000000.0,26092230000000.0,25799086000000.0,25413376000000.0,26144693000000.0,25691220000000.0,26110979000000.0,26358174000000.0,25553879000000.0,26099363000000.0
2036.0,26178799000000.0,26050760000000.0,25722385000000.0,25370880000000.0,26150190000000.0,25543716000000.0,26041945000000.0,26360515000000.0,25387512000000.0,26059053000000.0
2037.0,26097400000000.0,26018380000000.0,25729067000000.0,25271230000000.0,26086233000000.0,25491128000000.0,26035127000000.0,26352089000000.0,25259309000000.0,26040383000000.0
2038.0,26079511000000.0,26002560000000.0,25658862000000.0,25237798000000.0,26068155000000.0,25468158000000.0,25992838000000.0,26335865000000.0,25136743000000.0,26016815000000.0
2039.0,25984890000000.0,26032410000000.0,25629521000000.0,25150770000000.0,26026980000000.0,25403123000000.0,25892567000000.0,26332793000000.0,24987811000000.0,25906150000000.0
2040.0,25897699000000.0,25967225000000.0,25600457000000.0,24975417000000.0,25971313000000.0,25299807000000.0,25801584000000.0,26302973000000.0,24889700000000.0,25830960000000.0
2041.0,25823300000000.0,25958495000000.0,25624098000000.0,24889760000000.0,25886950000000.0,25210693000000.0,25760890000000.0,26261470000000.0,24818953000000.0,25810535000000.0
2042.0,25771056000000.0,25928397000000.0,25590631000000.0,24759692000000.0,25898944000000.0,25101536000000.0,25726380000000.0,26233652000000.0,24852540000000.0,25797128000000.0
2043.0,25713386000000.0,25923598000000.0,25493760000000.0,24618690000000.0,25824823000000.0,25017396000000.0,25687340000000.0,26161359000000.0,24775968000000.0,25773732000000.0
2044.0,25653892000000.0,25843860000000.0,25408890000000.0,24525850000000.0,25749445000000.0,24916525000000.0,25588178000000.0,26067759000000.0,24699904000000.0,25759394000000.0
2045.0,25559654000000.0,25775816000000.0,25334072000000.0,24349843000000.0,25646187000000.0,24798750000000.0,25431860000000.0,26012163000000.0,24578045000000.0,25748992000000.0
2046.0,25448306000000.0,25852062000000.0,25231092000000.0,24255513000000.0,25647603000000.0,24729553000000.0,25325136000000.0,25910722000000.0,24456110000000.0,25636874000000.0
2047.0,25365523000000.0,25857100000000.0,25228317000000.0,24151910000000.0,25527033000000.0,24606591000000.0,25220776000000.0,25850393000000.0,24329488000000.0,25589380000000.0
2048.0,25349940000000.0,25788368000000.0,25170750000000.0,24062036000000.0,25549150000000.0,24622452000000.0,25238800000000.0,25748845000000.0,24215185000000.0,25569385000000.0
2049.0,25295569000000.0,25717002000000.0,25170010000000.0,23981722000000.0,25521834000000.0,24565164000000.0,25192093000000.0,25729654000000.0,24131781000000.0,25520916000000.0
2050.0,25256184000000.0,25591963000000.0,25176954000000.0,23866040000000.0,25421685000000.0,24465243000000.0,25185778000000.0,25652607000000.0,24063987000000.0,25457792000000.0
2051.0,25266468000000.0,25566670000000.0,25048167000000.0,23756123000000.0,25424183000000.0,24337587000000.0,25126968000000.0,25644723000000.0,24040505000000.0,25399529000000.0
2052.0,25266588000000.0,25514360000000.0,24966020000000.0,23630149000000.0,25282124000000.0,24262967000000.0,25031696000000.0,25583436000000.0,23902804000000.0,25383292000000.0
2053.0,25215728000000.0,25457412000000.0,24879837000000.0,23499194000000.0,25097840000000.0,24275205000000.0,24985203000000.0,25606153000000.0,23767516000000.0,25335834000000.0
2054.0,25190986000000.0,25371582000000.0,24792787000000.0,23301190000000.0,25109941000000.0,24192037000000.0,24934187000000.0,25593720000000.0,23642465000000.0,25258930000000.0
2055.0,25104843000000.0,25394976000000.0,24759547000000.0,23160620000000.0,25059624000000.0,24068791000000.0,24890948000000.0,25614864000000.0,23576432000000.0,25221904000000.0
2056.0,25150628000000.0,25338510000000.0,24646007000000.0,23028818000000.0,24931719000000.0,24048373000000.0,24830530000000.0,25578910000000.0,23537245000000.0,25189160000000.0
2057.0,25162255000000.0,25294226000000.0,24520434000000.0,22892117000000.0,24784493000000.0,24060935000000.0,24805856000000.0,25555045000000.0,23484830000000.0,25119120000000.0
2058.0,25141910000000.0,25235180000000.0,24497910000000.0,22822276000000.0,24770398000000.0,23963923000000.0,24747438000000.0,25531362000000.0,23329516000000.0,25043508000000.0
2059.0,25118598000000.0,25200640000000.0,24462345000000.0,22697122000000.0,24694397000000.0,23878653000000.0,24743544000000.0,25485720000000.0,23332290000000.0,24994680000000.0
2060.0,25024100000000.0,25043917000000.0,24446753000000.0,22636346000000.0,24447044000000.0,23782790000000.0,24719750000000.0,25499294000000.0,23155412000000.0,24917305000000.0
2061.0,25036820000000.0,25005476000000.0,24389318000000.0,22513092000000.0,24382173000000.0,23630250000000.0,24584130000000.0,25474453000000.0,23078355000000.0,24943704000000.0
2062.0,24931218000000.0,25057300000000.0,24304679000000.0,22388694000000.0,24322012000000.0,23570296000000.0,24535530000000.0,25447610000000.0,23021570000000.0,24899351000000.0
2063.0,24945483000000.0,24930066000000.0,24294675000000.0,22244537000000.0,24249658000000.0,23493284000000.0,24468039000000.0,25408410000000.0,22983030000000.0,24862260000000.0
2064.0,24912327000000.0,24837674000000.0,24234739000000.0,22077772000000.0,24080531000000.0,23428843000000.0,24370653000000.0,25345263000000.0,22899447000000.0,24830397000000.0
2065.0,24940870000000.0,24795113000000.0,24204508000000.0,21952828000000.0,23941366000000.0,23325050000000.0,24348251000000.0,25309854000000.0,22834202000000.0,24751762000000.0
2066.0,24921636000000.0,24791814000000.0,24140342000000.0,21832132000000.0,23876514000000.0,23265542000000.0,24304470000000.0,25323997000000.0,22809256000000.0,24740180000000.0
2067.0,24929137000000.0,24760050000000.0,24089905000000.0,21627239000000.0,23786615000000.0,23211234000000.0,24253815000000.0,25290743000000.0,22666879000000.0,24688617000000.0
2068.0,24917091000000.0,24693600000000.0,23981581000000.0,21456240000000.0,23821430000000.0,23106446000000.0,24169673000000.0,25199024000000.0,22619296000000.0,24625824000000.0
2069.0,24814442000000.0,24648000000000.0,23947903000000.0,21317330000000.0,23735914000000.0,23107476000000.0,24137180000000.0,25180819000000.0,22539716000000.0,24582071000000.0
2070.0,24730155000000.0,24676217000000.0,23858285000000.0,21247680000000.0,23664704000000.0,23031215000000.0,24103840000000.0,25118200000000.0,22456838000000.0,24524316000000.0
2071.0,24691450000000.0,24702146000000.0,23815660000000.0,21122364000000.0,23541508000000.0,22924740000000.0,24056710000000.0,25127855000000.0,22325859000000.0,24465795000000.0
2072.0,24521201000000.0,24689418000000.0,23793622000000.0,20943934000000.0,23498192000000.0,22861578000000.0,23972410000000.0,25159732000000.0,22184456000000.0,24439306000000.0
2073.0,24490600000000.0,24646190000000.0,23768120000000.0,20848082000000.0,23389035000000.0,22766433000000.0,23902453000000.0,25138026000000.0,22041313000000.0,24405543000000.0
2074.0,24453698000000.0,24632212000000.0,23692105000000.0,20694828000000.0,23327794000000.0,22709975000000.0,23896220000000.0,25117852000000.0,21913248000000.0,24387967000000.0
2075.0,24377016000000.0,24595116000000.0,23677387000000.0,20624340000000.0,23243486000000.0,22653503000000.0,23781477000000.0,25147579000000.0,21836860000000.0,24355740000000.0
2076.0,24297876000000.0,24418833000000.0,23567037000000.0,20426078000000.0,23136538000000.0,22625898000000.0,23705535000000.0,25120022000000.0,21765076000000.0,24323618000000.0
2077.0,24286832000000.0,24368244000000.0,23525472000000.0,20353858000000.0,23047568000000.0,22543384000000.0,23679742000000.0,25120964000000.0,21723966000000.0,24293560000000.0
2078.0,24321326000000.0,24297083000000.0,23521583000000.0,20224783000000.0,23087733000000.0,22490890000000.0,23659282000000.0,25142281000000.0,21650611000000.0,24196965000000.0
2079.0,24232682000000.0,24214800000000.0,23353369000000.0,20066307000000.0,22966956000000.0,22371526000000.0,23642604000000.0,25074455000000.0,21543384000000.0,24166122000000.0
2080.0,24228982000000.0,24215298000000.0,23244365000000.0,19955787000000.0,22917182000000.0,22324840000000.0,23573863000000.0,25005320000000.0,21471072000000.0,24086010000000.0
2081.0,24163415000000.0,24136462000000.0,23117888000000.0,19859260000000.0,22807717000000.0,22163067000000.0,23496852000000.0,24952240000000.0,21356276000000.0,24047075000000.0
2082.0,24096987000000.0,24070610000000.0,23115040000000.0,19709079000000.0,22718200000000.0,22087796000000.0,23439964000000.0,24922814000000.0,21350910000000.0,24002028000000.0
2083.0,24049682000000.0,24076261000000.0,23007911000000.0,19614914000000.0,22645821000000.0,21981768000000.0,23363210000000.0,24892960000000.0,21271630000000.0,23933875000000.0
2084.0,24054082000000.0,24090851000000.0,22915156000000.0,19541086000000.0,22649410000000.0,21843850000000.0,23271246000000.0,24850530000000.0,21231586000000.0,23886163000000.0
2085.0,24057945000000.0,24052603000000.0,22844654000000.0,19419554000000.0,22551013000000.0,21799490000000.0,23263038000000.0,24817498000000.0,21127294000000.0,23885496000000.0
2086.0,24012145000000.0,24020318000000.0,22700571000000.0,19286358000000.0,22486438000000.0,21732256000000.0,23153248000000.0,24775483000000.0,21085379000000.0,23875585000000.0
2087.0,23974331000000.0,23981160000000.0,22612122000000.0,19124594000000.0,22386598000000.0,21683254000000.0,23043085000000.0,24771947000000.0,21078435000000.0,23910549000000.0
2088.0,23913982000000.0,23988248000000.0,22569732000000.0,19027770000000.0,22367414000000.0,21583310000000.0,23004508000000.0,24740460000000.0,20975626000000.0,23816458000000.0
2089.0,23845489000000.0,23910184000000.0,22518744000000.0,18949654000000.0,22288286000000.0,21463280000000.0,22978893000000.0,24730017000000.0,20964630000000.0,23723464000000.0
2090.0,23729950000000.0,23865734000000.0,22506186000000.0,18843687000000.0,22117431000000.0,21344809000000.0,22915634000000.0,24690420000000.0,20902593000000.0,23692405000000.0
2091.0,23669716000000.0,23904510000000.0,22330095000000.0,18710310000000.0,22094075000000.0,21224317000000.0,22897120000000.0,24678330000000.0,20864530000000.0,23596510000000.0
2092.0,23674258000000.0,23904817000000.0,22268881000000.0,18587274000000.0,21998837000000.0,21074358000000.0,22837510000000.0,24661272000000.0,20801934000000.0,23592234000000.0
2093.0,23701181000000.0,23873830000000.0,22174184000000.0,18479491000000.0,21914888000000.0,20985584000000.0,22849983000000.0,24623364000000.0,20733370000000.0,23563554000000.0
2094.0,23572108000000.0,23837170000000.0,22165700000000.0,18446159000000.0,21835794000000.0,20937628000000.0,22800255000000.0,24597657000000.0,20671940000000.0,23469920000000.0
2095.0,23516223000000.0,23813480000000.0,22131720000000.0,18285186000000.0,21724242000000.0,20904694000000.0,22752122000000.0,24621395000000.0,20566384000000.0,23452486000000.0
2096.0,23513484000000.0,23855620000000.0,22014956000000.0,18268344000000.0,21710980000000.0,20882400000000.0,22744947000000.0,24630167000000.0,20495878000000.0,23378805000000.0
2097.0,23485187000000.0,23794727000000.0,21956292000000.0,18151620000000.0,21629596000000.0,20820718000000.0,22704114000000.0,24631512000000.0,20412545000000.0,23373506000000.0
2098.0,23478854000000.0,23745903000000.0,21904551000000.0,18044650000000.0,21578973000000.0,20735647000000.0,22627515000000.0,24594738000000.0,20291500000000.0,23276760000000.0
2099.0,23361281000000.0,23725570000000.0,21863974000000.0,17947416000000.0,21490410000000.0,20652940000000.0,22605883000000.0,24571328000000.0,20244250000000.0,23244592000000.0
2100.0,23379451000000.0,23685818000000.0,21817014000000.0,17830022000000.0,21390214000000.0,20601490000000.0,22584658000000.0,24551650000000.0,20213066000000.0,23201906000000.0
