time,GFDL-CM3,GISS-E2-R,CESM1-CAM5,CANESM2,CCSM4,CSIRO-MK3-6-0,IPSL-CM5A-LR,MPI-ESM-LR,NORESM1-M,GFDL-ESM2G,CNRM-CM5
2018.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0,104760620000.0
2019.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0,104827445000.0
2020.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0,104883890000.0
2021.0,104637590000.0,104732720000.0,104725350000.0,104682890000.0,104832060000.0,104783600000.0,104692105000.0,104732420000.0,104661030000.0,104708720000.0,104707334000.0
2022.0,104598960000.0,104680686000.0,104627315000.0,104658846000.0,104651735000.0,104667610000.0,104723820000.0,104665120000.0,104624010000.0,104645160000.0,104704670000.0
2023.0,104527860000.0,104849285000.0,104555270000.0,104629120000.0,104599000000.0,104639095000.0,104660210000.0,104606720000.0,104591760000.0,104647524000.0,104769170000.0
2024.0,104522470000.0,104656400000.0,104462900000.0,104544320000.0,104664610000.0,104655350000.0,105021730000.0,104801510000.0,104506760000.0,104616390000.0,104708350000.0
2025.0,104463200000.0,104606600000.0,104380920000.0,104496680000.0,104543680000.0,104598920000.0,104574340000.0,104692900000.0,104507770000.0,104584585000.0,104659410000.0
2026.0,104419340000.0,104526050000.0,104339990000.0,104487576000.0,104498700000.0,104554860000.0,104550195000.0,104561040000.0,104447670000.0,104530910000.0,104499650000.0
2027.0,104395730000.0,104517720000.0,104266050000.0,104378020000.0,104537330000.0,104498020000.0,104479850000.0,104489030000.0,104386780000.0,104506990000.0,104478450000.0
2028.0,104330980000.0,104437350000.0,104193960000.0,104333386000.0,104902430000.0,104502780000.0,104425680000.0,104487040000.0,104671340000.0,104497490000.0,104679370000.0
2029.0,104290260000.0,104406850000.0,104135190000.0,104422300000.0,104552735000.0,104502575000.0,104378155000.0,104473330000.0,104426400000.0,104454150000.0,104403600000.0
2030.0,104227330000.0,104321470000.0,104030945000.0,104301010000.0,104459290000.0,104948630000.0,104290116000.0,104351070000.0,104314730000.0,104413330000.0,104291670000.0
2031.0,104169990000.0,104338964000.0,103935480000.0,104249790000.0,104368100000.0,104458990000.0,104387084000.0,104348295000.0,104248680000.0,104379630000.0,104241545000.0
2032.0,104108490000.0,104867865000.0,103829180000.0,104177620000.0,104414220000.0,104449740000.0,104220820000.0,104270210000.0,104320926000.0,104304070000.0,104290730000.0
2033.0,104044315000.0,104318250000.0,103700840000.0,104222240000.0,104343080000.0,104358090000.0,104147260000.0,104187355000.0,104182260000.0,104273860000.0,104181120000.0
2034.0,103992530000.0,104191480000.0,103592985000.0,104092930000.0,104283730000.0,104296650000.0,104064025000.0,104110530000.0,104373070000.0,104175170000.0,104121100000.0
2035.0,103883910000.0,104247480000.0,103463150000.0,104023380000.0,104182230000.0,104281510000.0,103958980000.0,104130765000.0,104125374000.0,104276800000.0,104043800000.0
2036.0,103819130000.0,104108970000.0,103291240000.0,103984685000.0,104126880000.0,104222500000.0,103861840000.0,104078100000.0,104140130000.0,104111360000.0,103999980000.0
2037.0,103733410000.0,104082550000.0,103063090000.0,103877880000.0,104067770000.0,104198970000.0,103822380000.0,104092590000.0,104061800000.0,104051200000.0,103958500000.0
2038.0,103631650000.0,104015585000.0,102849170000.0,103773370000.0,103988700000.0,104152965000.0,103760806000.0,103958930000.0,103987130000.0,103996695000.0,104154560000.0
2039.0,103585520000.0,104041720000.0,102574030000.0,103718216000.0,103905990000.0,104133050000.0,103647805000.0,103904670000.0,103917450000.0,103957275000.0,103794360000.0
2040.0,103479510000.0,103892960000.0,102302430000.0,103607020000.0,103861080000.0,104064660000.0,103596390000.0,103805140000.0,103844030000.0,103951250000.0,103657940000.0
2041.0,103299875000.0,103825760000.0,102011350000.0,103527014000.0,103844900000.0,103983280000.0,103509310000.0,103712650000.0,103757200000.0,103851975000.0,103607490000.0
2042.0,103184840000.0,103766340000.0,101715110000.0,103414930000.0,103777305000.0,103864205000.0,103348740000.0,103645045000.0,103683680000.0,103740550000.0,103464620000.0
2043.0,103090490000.0,104245500000.0,101452610000.0,103371500000.0,103646780000.0,104178426000.0,103199875000.0,103610245000.0,103609460000.0,103687620000.0,103466830000.0
2044.0,102978130000.0,103644530000.0,101120470000.0,103712410000.0,103626050000.0,104148220000.0,102990130000.0,103837590000.0,103521436000.0,103781560000.0,103284430000.0
2045.0,102839310000.0,103623840000.0,100743100000.0,103245340000.0,103655850000.0,103836310000.0,102831555000.0,103544180000.0,103426830000.0,103564960000.0,103338410000.0
2046.0,102720220000.0,103508050000.0,100417910000.0,103163710000.0,103478000000.0,103748090000.0,102670560000.0,103399236000.0,103310780000.0,103455090000.0,103096530000.0
2047.0,102564540000.0,103416320000.0,100104070000.0,103101874000.0,103329850000.0,103593960000.0,102571680000.0,103420035000.0,103154794000.0,103336100000.0,102928835000.0
2048.0,102391690000.0,103288450000.0,99747360000.0,102894440000.0,103279720000.0,103431970000.0,102465070000.0,103244055000.0,103099310000.0,103234180000.0,103021260000.0
2049.0,102261514000.0,103202054000.0,99366450000.0,102776440000.0,103158465000.0,103356810000.0,102283110000.0,103192080000.0,102986220000.0,103132230000.0,102835210000.0
2050.0,102139730000.0,103081080000.0,99061020000.0,102684820000.0,103142350000.0,103314480000.0,102036510000.0,103074365000.0,102857070000.0,103073800000.0,102661145000.0
2051.0,102056624000.0,102892710000.0,98644270000.0,102538750000.0,102998835000.0,103173070000.0,101822325000.0,102949870000.0,102771470000.0,102964520000.0,102659360000.0
2052.0,101859975000.0,102785370000.0,98124500000.0,102425780000.0,102979390000.0,103137500000.0,101718780000.0,102856540000.0,102656410000.0,102877080000.0,102468760000.0
2053.0,101670896000.0,102683530000.0,97638580000.0,102268800000.0,102801250000.0,103076890000.0,101491420000.0,102795760000.0,102548365000.0,102813370000.0,102270100000.0
2054.0,101474270000.0,102639820000.0,96997950000.0,102045080000.0,102707410000.0,102967360000.0,101402940000.0,102685820000.0,102400950000.0,102690365000.0,102107150000.0
2055.0,101220370000.0,102484650000.0,96501285000.0,101941850000.0,102583740000.0,102902470000.0,101117125000.0,102547366000.0,102314115000.0,102639910000.0,101981560000.0
2056.0,100870490000.0,102333540000.0,95857934000.0,101822276000.0,102486024000.0,102778240000.0,100878470000.0,102424000000.0,102241470000.0,102562860000.0,101795980000.0
2057.0,100638660000.0,102177284000.0,95318770000.0,101672240000.0,102280250000.0,102626050000.0,100613210000.0,102272205000.0,102089870000.0,102415010000.0,101725220000.0
2058.0,100188455000.0,102066480000.0,94895096000.0,101509960000.0,102229975000.0,102962540000.0,100419110000.0,102144040000.0,101944140000.0,102330860000.0,101535470000.0
2059.0,99859710000.0,101964230000.0,94374460000.0,101334710000.0,102077660000.0,102501210000.0,100194570000.0,101972530000.0,101759010000.0,102296520000.0,101334540000.0
2060.0,99603630000.0,101941854000.0,93811210000.0,101194470000.0,101911446000.0,102334865000.0,99875520000.0,101897870000.0,101656500000.0,102156900000.0,101160485000.0
2061.0,99333366000.0,102050365000.0,93240460000.0,100944716000.0,101786630000.0,102226160000.0,99550210000.0,101706720000.0,101406930000.0,102060270000.0,101289190000.0
2062.0,99052480000.0,101843860000.0,92615770000.0,101083830000.0,101614790000.0,102217800000.0,99428160000.0,101523310000.0,101295900000.0,102001754000.0,101370190000.0
2063.0,98755190000.0,101552500000.0,91956390000.0,100718290000.0,101738260000.0,102390290000.0,99299430000.0,101365940000.0,101134580000.0,102103540000.0,100771070000.0
2064.0,98480700000.0,101347340000.0,91123110000.0,100813260000.0,101460490000.0,102049810000.0,99116980000.0,101213910000.0,100926960000.0,101859040000.0,100487455000.0
2065.0,98308070000.0,101202895000.0,90348990000.0,100533230000.0,101313760000.0,101843680000.0,98781770000.0,101002310000.0,100778990000.0,101740280000.0,100256050000.0
2066.0,97944440000.0,101282350000.0,89602600000.0,100347490000.0,101202575000.0,101697310000.0,98760300000.0,101252920000.0,100526740000.0,101598880000.0,100468950000.0
2067.0,97684700000.0,101054595000.0,88868530000.0,100162780000.0,101464910000.0,101627945000.0,98574430000.0,100889756000.0,100317480000.0,101462100000.0,100004760000.0
2068.0,97337360000.0,100944820000.0,87992460000.0,100486160000.0,101040660000.0,101444820000.0,98594250000.0,100634034000.0,100148480000.0,101295510000.0,99809040000.0
2069.0,97027060000.0,100713000000.0,87337525000.0,99845595000.0,101513380000.0,101319300000.0,97948610000.0,100422750000.0,99913890000.0,101210460000.0,100081566000.0
2070.0,96675774000.0,100632945000.0,86582130000.0,99662620000.0,100797050000.0,101292605000.0,97639784000.0,100378910000.0,99741565000.0,101068110000.0,100080840000.0
2071.0,96345590000.0,100471510000.0,85839580000.0,99453660000.0,100643500000.0,101366645000.0,97327120000.0,100102920000.0,99729520000.0,100998730000.0,99477180000.0
2072.0,95960450000.0,100416000000.0,85190780000.0,99254800000.0,100443630000.0,101503115000.0,97030190000.0,99936700000.0,99389510000.0,100813210000.0,99338770000.0
2073.0,95419286000.0,100109030000.0,84502856000.0,98957940000.0,100263470000.0,101129945000.0,96719440000.0,99819995000.0,99229835000.0,100580655000.0,99240894000.0
2074.0,95357790000.0,99966390000.0,83609390000.0,98720750000.0,100148190000.0,100886580000.0,96518690000.0,99569990000.0,98981420000.0,100660260000.0,98857525000.0
2075.0,94881780000.0,99758520000.0,82458610000.0,98941250000.0,99924490000.0,100674960000.0,96033720000.0,99348650000.0,98714930000.0,100376530000.0,98650450000.0
2076.0,94471455000.0,99915640000.0,81806660000.0,98560385000.0,99783220000.0,100515250000.0,95659340000.0,99182040000.0,98514390000.0,100358780000.0,98700890000.0
2077.0,94086380000.0,99589186000.0,81257890000.0,98444680000.0,99581000000.0,100706950000.0,95392580000.0,99003335000.0,98351950000.0,100098744000.0,98232470000.0
2078.0,93679560000.0,99379356000.0,80431930000.0,98376650000.0,99525970000.0,100256506000.0,94947844000.0,98695990000.0,98146976000.0,99890600000.0,98010670000.0
2079.0,93583850000.0,99227640000.0,79789060000.0,98080280000.0,99324040000.0,100037900000.0,95251735000.0,98457780000.0,97904810000.0,99772735000.0,97771560000.0
2080.0,93189235000.0,98996550000.0,78967850000.0,97779655000.0,99136990000.0,99932000000.0,94506690000.0,98625350000.0,97839645000.0,99808625000.0,98654814000.0
2081.0,92972910000.0,98759450000.0,78225990000.0,97574570000.0,98993060000.0,99906126000.0,94032675000.0,98144940000.0,97562680000.0,99540810000.0,97719420000.0
2082.0,92253860000.0,98551685000.0,77372285000.0,97368605000.0,98782740000.0,99830370000.0,93829510000.0,97863760000.0,97306140000.0,99355705000.0,97190980000.0
2083.0,91802935000.0,98230300000.0,76630110000.0,97417410000.0,98650390000.0,99641850000.0,93397130000.0,97681605000.0,96978125000.0,99200490000.0,97410240000.0
2084.0,91288035000.0,98712890000.0,75884814000.0,97071330000.0,98458770000.0,99504690000.0,92965994000.0,97398500000.0,96742530000.0,99396900000.0,96563870000.0
2085.0,90409140000.0,98263015000.0,75237140000.0,96839490000.0,98159060000.0,99289930000.0,92636360000.0,97149330000.0,96540840000.0,98965390000.0,96204180000.0
2086.0,90038190000.0,98078750000.0,74396920000.0,96465970000.0,97906740000.0,99004880000.0,92222505000.0,96949430000.0,96308510000.0,98757665000.0,96024730000.0
2087.0,89474556000.0,98075330000.0,73663290000.0,96309130000.0,97626910000.0,98806020000.0,91920910000.0,96715860000.0,95959015000.0,98858476000.0,96086660000.0
2088.0,89109150000.0,98130390000.0,72691490000.0,95787840000.0,97376570000.0,98618620000.0,91436290000.0,96897060000.0,95669264000.0,99028040000.0,95510544000.0
2089.0,88488040000.0,97686400000.0,72050940000.0,95455306000.0,97089010000.0,98447114000.0,91021000000.0,96316604000.0,95356944000.0,98571395000.0,95341910000.0
2090.0,88137550000.0,97514910000.0,71570645000.0,95363540000.0,96858120000.0,98281040000.0,90623420000.0,96110680000.0,95032975000.0,98406110000.0,95030166000.0
2091.0,87660134000.0,97315830000.0,70926270000.0,95504750000.0,96598940000.0,98058010000.0,90555850000.0,95921980000.0,94811600000.0,98168740000.0,94686410000.0
2092.0,87558770000.0,97219210000.0,70349770000.0,95021850000.0,96467480000.0,97905680000.0,89923030000.0,95624950000.0,94546080000.0,97977210000.0,94344130000.0
2093.0,87093040000.0,97087020000.0,69800170000.0,95016215000.0,96077136000.0,97720656000.0,89494290000.0,95368210000.0,94172760000.0,98011350000.0,96729220000.0
2094.0,86554340000.0,96892380000.0,69146080000.0,94365980000.0,95808545000.0,97633560000.0,89266490000.0,95330880000.0,93979980000.0,97683860000.0,94408840000.0
2095.0,86154050000.0,96638030000.0,68637835000.0,94026060000.0,95752340000.0,97348190000.0,88912530000.0,94937540000.0,93764510000.0,97466100000.0,94019010000.0
2096.0,85552490000.0,96390170000.0,68123910000.0,93780390000.0,95466996000.0,97191810000.0,89375520000.0,94720970000.0,93502620000.0,97297146000.0,94247820000.0
2097.0,85113310000.0,96131040000.0,67652542000.0,93562400000.0,95648230000.0,97957910000.0,88405380000.0,94542700000.0,93225850000.0,97169195000.0,93725760000.0
2098.0,84449380000.0,95997690000.0,67200115000.0,93628370000.0,95148520000.0,97399380000.0,88087310000.0,94315650000.0,92965330000.0,96910630000.0,93692220000.0
2099.0,84007090000.0,95821820000.0,66434620000.0,92990690000.0,94791820000.0,96697975000.0,92976914000.0,94117230000.0,92672360000.0,97698660000.0,93075820000.0
2100.0,83520780000.0,95743850000.0,65681752000.0,92659670000.0,96975725000.0,96520820000.0,87698555000.0,93957180000.0,92388080000.0,96737075000.0,93128590000.0
