time,GFDL-CM3,NORESM1-M,GFDL-ESM2G,CCSM4,GISS-E2-R,CSIRO-MK3-6-0,IPSL-CM5A-LR
2018.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0
2019.0,44734127000000.0,44734127000000.0,44734127000000.0,44734127000000.0,44734127000000.0,44734127000000.0,44734127000000.0
2020.0,44718100000000.0,44718100000000.0,44718100000000.0,44718100000000.0,44718100000000.0,44718100000000.0,44718100000000.0
2021.0,44766450000000.0,44679700000000.0,44676225000000.0,44681830000000.0,44695450000000.0,44648040000000.0,44594134000000.0
2022.0,44783580000000.0,44663675000000.0,44646210000000.0,44619160000000.0,44631790000000.0,44633740000000.0,44555280000000.0
2023.0,44790306000000.0,44596300000000.0,44618530000000.0,44466890000000.0,44549770000000.0,44634194000000.0,44508660000000.0
2024.0,44783230000000.0,44549480000000.0,44563985000000.0,44468674000000.0,44423476000000.0,44575226000000.0,44434155000000.0
2025.0,44744190000000.0,44532140000000.0,44577424000000.0,44383676000000.0,44263987000000.0,44562660000000.0,44278177000000.0
2026.0,44778570000000.0,44409484000000.0,44522830000000.0,44286205000000.0,44163714000000.0,44449376000000.0,44005325000000.0
2027.0,44847365000000.0,44337467000000.0,44519114000000.0,44218853000000.0,44082974000000.0,44376554000000.0,43764932000000.0
2028.0,44923930000000.0,44278350000000.0,44493650000000.0,44126905000000.0,44076607000000.0,44215680000000.0,43611990000000.0
2029.0,44952277000000.0,44135020000000.0,44531827000000.0,44067606000000.0,44008257000000.0,44058200000000.0,43586268000000.0
2030.0,44991942000000.0,43940760000000.0,44513284000000.0,43912790000000.0,43994537000000.0,44007010000000.0,43466440000000.0
2031.0,45065892000000.0,43909657000000.0,44474625000000.0,43809195000000.0,43920750000000.0,43924786000000.0,43460636000000.0
2032.0,45062270000000.0,43868280000000.0,44385720000000.0,43783410000000.0,43859904000000.0,43817684000000.0,43422916000000.0
2033.0,45117340000000.0,43839160000000.0,44320116000000.0,43708892000000.0,43837225000000.0,43762693000000.0,43384330000000.0
2034.0,45221260000000.0,43739188000000.0,44266764000000.0,43617213000000.0,43737166000000.0,43653196000000.0,43330558000000.0
2035.0,45254376000000.0,43711702000000.0,44325195000000.0,43484443000000.0,43765843000000.0,43556850000000.0,43285725000000.0
2036.0,45301140000000.0,43702130000000.0,44267465000000.0,43447763000000.0,43785933000000.0,43485936000000.0,43133290000000.0
2037.0,45375386000000.0,43578950000000.0,44246288000000.0,43320910000000.0,43662117000000.0,43432127000000.0,42983130000000.0
2038.0,45460700000000.0,43522674000000.0,44276280000000.0,43262210000000.0,43583650000000.0,43255752000000.0,42921445000000.0
2039.0,45500217000000.0,43462320000000.0,44241950000000.0,43172944000000.0,43567058000000.0,43196717000000.0,42871800000000.0
2040.0,45526590000000.0,43399843000000.0,44142206000000.0,43066740000000.0,43502293000000.0,43071635000000.0,42924860000000.0
2041.0,45502880000000.0,43308663000000.0,44083590000000.0,42954780000000.0,43423864000000.0,42892680000000.0,42990470000000.0
2042.0,45496916000000.0,43200830000000.0,43979576000000.0,42775265000000.0,43285870000000.0,42680390000000.0,42983714000000.0
2043.0,45485943000000.0,43193960000000.0,43827763000000.0,42678240000000.0,43224333000000.0,42505720000000.0,42934950000000.0
2044.0,45481930000000.0,43173666000000.0,43761443000000.0,42536274000000.0,43157853000000.0,42286927000000.0,42889984000000.0
2045.0,45415860000000.0,43087450000000.0,43742410000000.0,42506820000000.0,43112047000000.0,42164684000000.0,42790000000000.0
2046.0,45471695000000.0,43034608000000.0,43632787000000.0,42399347000000.0,43049497000000.0,42027030000000.0,42667258000000.0
2047.0,45434030000000.0,42952270000000.0,43583042000000.0,42240210000000.0,42995202000000.0,41912652000000.0,42618060000000.0
2048.0,45408106000000.0,42874213000000.0,43529250000000.0,42095280000000.0,42901124000000.0,41774635000000.0,42624417000000.0
2049.0,45356507000000.0,42784883000000.0,43416654000000.0,41879410000000.0,42782060000000.0,41619563000000.0,42579932000000.0
2050.0,45358640000000.0,42697583000000.0,43384283000000.0,41769316000000.0,42706546000000.0,41523560000000.0,42485360000000.0
2051.0,45319446000000.0,42516674000000.0,43403606000000.0,41670507000000.0,42603730000000.0,41383100000000.0,42377050000000.0
2052.0,45330695000000.0,42445216000000.0,43397730000000.0,41546863000000.0,42586455000000.0,41112470000000.0,42183294000000.0
2053.0,45217252000000.0,42396900000000.0,43384903000000.0,41514610000000.0,42411010000000.0,40942392000000.0,41986650000000.0
2054.0,45069830000000.0,42370690000000.0,43352993000000.0,41384896000000.0,42255843000000.0,40765800000000.0,41870450000000.0
2055.0,44991188000000.0,42176760000000.0,43359255000000.0,41183624000000.0,42190915000000.0,40614070000000.0,41706150000000.0
2056.0,44794040000000.0,42036753000000.0,43322127000000.0,40975246000000.0,42135920000000.0,40455308000000.0,41517740000000.0
2057.0,44736396000000.0,41907154000000.0,43289360000000.0,40795360000000.0,42062520000000.0,40262093000000.0,41403464000000.0
2058.0,44729090000000.0,41826807000000.0,43293157000000.0,40683914000000.0,41980453000000.0,40046057000000.0,41262150000000.0
2059.0,44669290000000.0,41771095000000.0,43194113000000.0,40489170000000.0,41905660000000.0,39916540000000.0,41078470000000.0
2060.0,44658328000000.0,41654052000000.0,43191670000000.0,40420330000000.0,41880016000000.0,39739835000000.0,40783126000000.0
2061.0,44603660000000.0,41573576000000.0,43141357000000.0,40190836000000.0,41788094000000.0,39463497000000.0,40511834000000.0
2062.0,44689700000000.0,41452827000000.0,43122140000000.0,39953020000000.0,41728280000000.0,39282497000000.0,40421992000000.0
2063.0,44657340000000.0,41316637000000.0,43047203000000.0,39722836000000.0,41504484000000.0,39095456000000.0,40244900000000.0
2064.0,44758320000000.0,41194436000000.0,43023280000000.0,39604103000000.0,41405370000000.0,38859330000000.0,40177716000000.0
2065.0,44780755000000.0,41111624000000.0,42948150000000.0,39473560000000.0,41304580000000.0,38642820000000.0,40170263000000.0
2066.0,44831330000000.0,40915763000000.0,42833890000000.0,39397070000000.0,41234630000000.0,38327690000000.0,40046183000000.0
2067.0,44832106000000.0,40786687000000.0,42750090000000.0,39166495000000.0,41085110000000.0,38105873000000.0,39879203000000.0
2068.0,44880370000000.0,40766420000000.0,42633703000000.0,38974127000000.0,41069547000000.0,37886630000000.0,39882080000000.0
2069.0,44807300000000.0,40708925000000.0,42590790000000.0,38747250000000.0,41031056000000.0,37696720000000.0,39802320000000.0
2070.0,44730897000000.0,40530986000000.0,42461070000000.0,38475244000000.0,40975180000000.0,37397560000000.0,39679580000000.0
2071.0,44726795000000.0,40424890000000.0,42389200000000.0,38357262000000.0,40852416000000.0,37107133000000.0,39549804000000.0
2072.0,44710590000000.0,40296470000000.0,42350538000000.0,38173650000000.0,40710913000000.0,36852728000000.0,39413615000000.0
2073.0,44652133000000.0,40217973000000.0,42150885000000.0,37916990000000.0,40610266000000.0,36673182000000.0,39339145000000.0
2074.0,44529210000000.0,40010820000000.0,42004084000000.0,37659200000000.0,40609096000000.0,36425496000000.0,39281620000000.0
2075.0,44499830000000.0,39920780000000.0,41916890000000.0,37341740000000.0,40566688000000.0,36090027000000.0,39153916000000.0
2076.0,44545280000000.0,39774950000000.0,41794536000000.0,37085646000000.0,40486930000000.0,35833495000000.0,39058894000000.0
2077.0,44572114000000.0,39664010000000.0,41593660000000.0,36880200000000.0,40378233000000.0,35520034000000.0,38983950000000.0
2078.0,44558625000000.0,39626836000000.0,41512430000000.0,36753377000000.0,40228484000000.0,35254960000000.0,38941533000000.0
2079.0,44527870000000.0,39534054000000.0,41389240000000.0,36590860000000.0,40067825000000.0,34973575000000.0,38757340000000.0
2080.0,44490710000000.0,39471026000000.0,41308098000000.0,36509720000000.0,40034095000000.0,34606135000000.0,38646510000000.0
2081.0,44514800000000.0,39384724000000.0,41282936000000.0,36412104000000.0,39924620000000.0,34262130000000.0,38491160000000.0
2082.0,44470980000000.0,39345768000000.0,41174413000000.0,36147493000000.0,39837583000000.0,33951094000000.0,38364150000000.0
2083.0,44490027000000.0,39265760000000.0,41065944000000.0,35944644000000.0,39754310000000.0,33600899000000.0,38254430000000.0
2084.0,44442455000000.0,39050614000000.0,41012300000000.0,35673067000000.0,39726340000000.0,33363264000000.0,38128100000000.0
2085.0,44416895000000.0,38916065000000.0,40993278000000.0,35519887000000.0,39616975000000.0,33023440000000.0,37874970000000.0
2086.0,44445090000000.0,38736264000000.0,40955747000000.0,35380040000000.0,39373700000000.0,32627450000000.0,37805040000000.0
2087.0,44460696000000.0,38582467000000.0,40845690000000.0,35151487000000.0,39269330000000.0,32213670000000.0,37647813000000.0
2088.0,44474790000000.0,38464260000000.0,40765140000000.0,34799733000000.0,39150787000000.0,31813410000000.0,37488576000000.0
2089.0,44409350000000.0,38278904000000.0,40719230000000.0,34565318000000.0,39130300000000.0,31489182000000.0,37418960000000.0
2090.0,44396255000000.0,38112453000000.0,40700530000000.0,34271590000000.0,39051814000000.0,31026735000000.0,37242597000000.0
2091.0,44334720000000.0,37962260000000.0,40662045000000.0,33920899000000.0,38819592000000.0,30548467000000.0,37075080000000.0
2092.0,44163496000000.0,37700208000000.0,40585660000000.0,33556936000000.0,38808340000000.0,30208265000000.0,36890753000000.0
2093.0,44125076000000.0,37461716000000.0,40520106000000.0,33211405000000.0,38671560000000.0,29826688000000.0,36802910000000.0
2094.0,44070110000000.0,37347605000000.0,40436542000000.0,32816992000000.0,38552200000000.0,29471936000000.0,36720690000000.0
2095.0,43978234000000.0,37118307000000.0,40414820000000.0,32611332000000.0,38459470000000.0,29171700000000.0,36418110000000.0
2096.0,43913075000000.0,36949574000000.0,40372596000000.0,32317001000000.0,38316334000000.0,28871934000000.0,36307950000000.0
2097.0,43865126000000.0,36696180000000.0,40256624000000.0,31959720000000.0,38238316000000.0,28565372000000.0,36138065000000.0
2098.0,43861520000000.0,36551057000000.0,40140072000000.0,31469737000000.0,38112336000000.0,28181365000000.0,36037997000000.0
2099.0,43805437000000.0,36374750000000.0,40029364000000.0,31209530000000.0,37863980000000.0,27794493000000.0,35878560000000.0
2100.0,43752590000000.0,36212020000000.0,39911620000000.0,30958661000000.0,37788010000000.0,27449012000000.0,35774892000000.0
