time,CSIRO-MK3-6-0,CCSM4,GFDL-CM3,NORESM1-M,CESM1-CAM5,IPSL-CM5A-LR,GISS-E2-R,GFDL-ESM2G
2017.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0
2018.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0
2019.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0
2020.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0
2021.0,2717992400.0,2653790500.0,2644333800.0,2644650200.0,2652701700.0,2643730200.0,2666098400.0,2643188200.0
2022.0,2779795200.0,2645335600.0,2633114600.0,2634844000.0,2640422700.0,2698322400.0,2652566000.0,2625481500.0
2023.0,2699881200.0,2642560300.0,2625428700.0,2682442800.0,2630126800.0,2638805200.0,2698845700.0,2617336300.0
2024.0,2690967600.0,2635539500.0,2610439400.0,2674605600.0,2621308000.0,2635676000.0,2661893000.0,2608930000.0
2025.0,2675451000.0,2625390300.0,2596534300.0,2635755500.0,2610284500.0,2616108800.0,2635562500.0,2625446100.0
2026.0,2655892200.0,2615524400.0,2577638400.0,2619176400.0,2595511300.0,2598118700.0,2622199300.0,2596254500.0
2027.0,2665091300.0,2607725600.0,2560246300.0,2636973800.0,2584546000.0,2574811400.0,2612182800.0,2576956700.0
2028.0,2679991600.0,2597048300.0,2546240000.0,2606712600.0,2574097000.0,2570734800.0,2600089600.0,2561190700.0
2029.0,2641497300.0,2574306300.0,2511756500.0,2601479000.0,2554188500.0,2531673900.0,2582636000.0,2545288200.0
2030.0,2644994000.0,2553142800.0,2485412000.0,2595605000.0,2534984700.0,2595506400.0,2592674000.0,2547182300.0
2031.0,2627859000.0,2538258400.0,2465045200.0,2601076500.0,2523194000.0,2503645400.0,2553016300.0,2530471200.0
2032.0,2615049200.0,2528969700.0,2442110200.0,2568844000.0,2505797600.0,2507701000.0,2541614600.0,2516151300.0
2033.0,2669308200.0,2513577000.0,2419134700.0,2557736400.0,2498788900.0,2460795000.0,2526424800.0,2567479000.0
2034.0,2610337000.0,2487001600.0,2386750000.0,2549005000.0,2469408500.0,2437000000.0,2518511400.0,2501802200.0
2035.0,2599456500.0,2479222300.0,2351377000.0,2531265300.0,2439499000.0,2401480400.0,2498240800.0,2480086500.0
2036.0,2588413200.0,2464433000.0,2317719800.0,2522982400.0,2413547800.0,2359437800.0,2493208300.0,2463861200.0
2037.0,2579338200.0,2436798500.0,2298261800.0,2528838100.0,2399359000.0,2322848500.0,2470816800.0,2447323600.0
2038.0,2595627300.0,2427359200.0,2258367700.0,2500855300.0,2381916700.0,2289126100.0,2447112700.0,2423436500.0
2039.0,2600995600.0,2398376200.0,2214356200.0,2484620800.0,2356920600.0,2238067700.0,2456062200.0,2401068500.0
2040.0,2651013000.0,2374064000.0,2165318000.0,2467750400.0,2348004900.0,2185908500.0,2418782200.0,2395758600.0
2041.0,2581554200.0,2342086000.0,2135696800.0,2455240400.0,2312233700.0,2151858000.0,2397556000.0,2392033300.0
2042.0,2576151300.0,2385379600.0,2090536100.0,2433246200.0,2340101400.0,2103981200.0,2365267200.0,2342713600.0
2043.0,2547176000.0,2322377500.0,2056555500.0,2414192600.0,2283749400.0,2061413900.0,2351766500.0,2326911700.0
2044.0,2525524000.0,2290471700.0,2010472000.0,2391691300.0,2257816300.0,2030588900.0,2344639500.0,2304142000.0
2045.0,2521870300.0,2272828200.0,1976075500.0,2368968200.0,2224007200.0,1979224400.0,2319899600.0,2283798800.0
2046.0,2493168400.0,2251096600.0,1904684800.0,2344641300.0,2176867300.0,1936872700.0,2303138000.0,2354059500.0
2047.0,2483266800.0,2252287500.0,1847771600.0,2340334300.0,2150671400.0,1861212400.0,2280843000.0,2270607600.0
2048.0,2489443800.0,2260064000.0,1816241700.0,2318674400.0,2124217200.0,1819726300.0,2281870000.0,2243467800.0
2049.0,2463591700.0,2208779500.0,1765938200.0,2292752000.0,2062909200.0,1778959900.0,2239679700.0,2220439600.0
2050.0,2448103000.0,2170042600.0,1718042900.0,2273133300.0,2025542100.0,1704941300.0,2208790300.0,2175686400.0
2051.0,2420528000.0,2146109700.0,1663167400.0,2256920300.0,1974098400.0,1623686000.0,2179806200.0,2150464000.0
2052.0,2436514600.0,2117003600.0,1628386600.0,2265881300.0,1935721000.0,1555162900.0,2148913000.0,2127255000.0
2053.0,2399312400.0,2083336100.0,1583777300.0,2215262500.0,1901109900.0,1516766000.0,2104809200.0,2095951000.0
2054.0,2376768800.0,2033976400.0,1534122400.0,2187445200.0,1840701700.0,1460083100.0,2091663600.0,2075874700.0
2055.0,2360132600.0,2039417600.0,1489855400.0,2158162200.0,1800477000.0,1395234300.0,2057172700.0,2044438100.0
2056.0,2340903000.0,1992328000.0,1434174300.0,2137881000.0,1751139800.0,1330249100.0,2078918000.0,2011025000.0
2057.0,2398326300.0,1934881400.0,1381359700.0,2103467000.0,1709008600.0,1284634400.0,2022585500.0,1984622100.0
2058.0,2338082800.0,1886528600.0,1333344600.0,2136961200.0,1667055400.0,1235742200.0,1978759300.0,1940554500.0
2059.0,2349181400.0,1846357400.0,1283240600.0,2075618400.0,1641806800.0,1177517400.0,1944178800.0,1884607500.0
2060.0,2314289400.0,1800490500.0,1242453600.0,2044423800.0,1596401700.0,1137421600.0,1912736500.0,1842307200.0
2061.0,2289654800.0,1760752500.0,1194968600.0,2016490900.0,1543943000.0,1090267000.0,1896942100.0,1809783800.0
2062.0,2259221500.0,1723174100.0,1138804400.0,1998086800.0,1485057500.0,1045746600.0,1850620900.0,1779796600.0
2063.0,2273124900.0,1705295400.0,1094334800.0,1961953800.0,1490884500.0,998680260.0,1863969300.0,1762133400.0
2064.0,2386875400.0,1664362200.0,1054155970.0,1947428000.0,1419262700.0,956618240.0,1817338900.0,1713934200.0
2065.0,2289119500.0,1630556000.0,1022517300.0,1921490000.0,1348101100.0,947419970.0,1787110700.0,1688643000.0
2066.0,2223489500.0,1597804900.0,987576770.0,1884283300.0,1295316900.0,908452600.0,1745591800.0,1651011000.0
2067.0,2196674000.0,1560401400.0,953695740.0,1859076600.0,1261816000.0,877770000.0,1727743700.0,1613110400.0
2068.0,2174873600.0,1503837000.0,925442050.0,1838840400.0,1209550100.0,834090800.0,1698936300.0,1565282700.0
2069.0,2175851000.0,1480316000.0,896081540.0,1814021500.0,1177713700.0,804485250.0,1699447900.0,1534613600.0
2070.0,2136855300.0,1450229100.0,857292160.0,1802455200.0,1123389400.0,779349500.0,1652639100.0,1516637200.0
2071.0,2153526800.0,1419488500.0,838634200.0,1746401800.0,1090448000.0,759324200.0,1632139100.0,1492785700.0
2072.0,2178922000.0,1384271900.0,807882400.0,1726268000.0,1050365900.0,732719000.0,1609747600.0,1463619100.0
2073.0,2175173400.0,1329003400.0,778642400.0,1702069100.0,1007165440.0,706724030.0,1580853600.0,1446703900.0
2074.0,2147238000.0,1294834300.0,750131000.0,1676620300.0,968279500.0,673789500.0,1564285300.0,1390720400.0
2075.0,2108906000.0,1270897500.0,726472450.0,1639842800.0,940354100.0,650302900.0,1557371500.0,1352368100.0
2076.0,2110051600.0,1231002900.0,695852700.0,1605841700.0,907250100.0,631624300.0,1505078700.0,1343049300.0
2077.0,2054120600.0,1199933000.0,662116350.0,1576058400.0,880279400.0,602761660.0,1482882000.0,1305043100.0
2078.0,2036289200.0,1178204400.0,627974100.0,1555083400.0,854005100.0,572276160.0,1452101400.0,1276298200.0
2079.0,2017502200.0,1130540700.0,598598700.0,1520300700.0,820038300.0,547053000.0,1452738200.0,1248241400.0
2080.0,1999155800.0,1104038700.0,573624400.0,1488977400.0,792986050.0,523007000.0,1432214800.0,1198899000.0
2081.0,1976724200.0,1079490800.0,553777900.0,1467961500.0,757806900.0,499505600.0,1389319000.0,1172291700.0
2082.0,1938613600.0,1043970240.0,531579040.0,1448674800.0,720370370.0,484651600.0,1351361700.0,1137765800.0
2083.0,1921110500.0,1001487900.0,505168100.0,1424001800.0,676412000.0,472249470.0,1318669200.0,1106999700.0
2084.0,1893933000.0,974347100.0,491673380.0,1387345300.0,645422100.0,452775970.0,1280676700.0,1100864800.0
2085.0,1862129400.0,951925400.0,469028800.0,1350159000.0,618346200.0,441477100.0,1257532900.0,1067666940.0
2086.0,1837218300.0,915014460.0,450431550.0,1317564400.0,592650240.0,422283300.0,1228652700.0,1096206100.0
2087.0,1799475600.0,883596200.0,434874530.0,1461601400.0,566839740.0,407559680.0,1198503400.0,1052184600.0
2088.0,1762998300.0,865076100.0,420539360.0,1282985700.0,546106400.0,384770780.0,1165537400.0,1023439800.0
2089.0,1718865900.0,873550900.0,401744130.0,1269141500.0,524602880.0,367357200.0,1131291100.0,1008111900.0
2090.0,1673094800.0,830371650.0,383055360.0,1232847700.0,509173020.0,356233340.0,1111880700.0,992854850.0
2091.0,1639728800.0,803460030.0,367801660.0,1209485200.0,491390620.0,344177000.0,1089356400.0,960971840.0
2092.0,1607637100.0,787517440.0,356019800.0,1178156900.0,470788220.0,335104220.0,1065058600.0,948693800.0
2093.0,1581630200.0,767175600.0,337507940.0,1145084300.0,457564000.0,316292640.0,1048315700.0,924516160.0
2094.0,1563863000.0,747695000.0,318409760.0,1129750500.0,441180860.0,300913470.0,1019005440.0,896618400.0
2095.0,1524183800.0,725204500.0,309156540.0,1101070500.0,422803840.0,290753120.0,1006869440.0,879296300.0
2096.0,1487230800.0,700479700.0,292646500.0,1070036540.0,403972060.0,276954980.0,988031300.0,870550850.0
2097.0,1448020200.0,677015800.0,280568300.0,1048245100.0,383242200.0,269286720.0,961156100.0,836032260.0
2098.0,1415466600.0,649707200.0,266380740.0,1029892700.0,364838340.0,255831800.0,964392640.0,811310340.0
2099.0,1371622100.0,625089500.0,258029100.0,1002578940.0,350748200.0,244118940.0,932627700.0,784687550.0
2100.0,1346021400.0,609007000.0,246995820.0,972625900.0,335872640.0,232982500.0,910605700.0,765842400.0
