time,GFDL-CM3,GISS-E2-R,CCSM4,GFDL-ESM2G,NORESM1-M,IPSL-CM5A-LR,CSIRO-MK3-6-0
2022.0,1071547500.0,1091321500.0,1106009900.0,1093423400.0,1079632000.0,1090895400.0,1094048800.0
2023.0,1066648260.0,1078508200.0,1084271700.0,1087807500.0,1061711550.0,1076091300.0,1084055700.0
2024.0,1037336400.0,1072162560.0,1074449800.0,1077338900.0,1048009600.0,1049960000.0,1071755260.0
2025.0,1015090100.0,1051609860.0,1066590500.0,1063178800.0,1038747200.0,1026795600.0,1046945300.0
2026.0,995972160.0,1033880100.0,1056166850.0,1068622850.0,1029048700.0,993645600.0,1032120100.0
2027.0,968969000.0,1016386940.0,1041548300.0,1049372500.0,1007380350.0,976360700.0,1018740160.0
2028.0,922137400.0,1004912060.0,1026566140.0,1045363100.0,987253400.0,974696260.0,1007120400.0
2029.0,911390100.0,983710600.0,1010351360.0,1038664260.0,969666000.0,970569700.0,991100500.0
2030.0,879752400.0,964998300.0,994680600.0,1023359360.0,954502660.0,933459460.0,987438300.0
2031.0,849151800.0,974347260.0,998323700.0,1022448400.0,928659000.0,916632200.0,966393100.0
2032.0,821065600.0,985012540.0,990175800.0,1011784800.0,902651140.0,880872450.0,945260100.0
2033.0,782958500.0,939805630.0,972051100.0,1000230000.0,881636600.0,856403500.0,940219900.0
2034.0,753205400.0,941033700.0,949580160.0,985238340.0,855440060.0,823498100.0,914916540.0
2035.0,720314800.0,924004900.0,928192900.0,989398000.0,815567400.0,809219200.0,892369000.0
2036.0,691131100.0,895121200.0,914822200.0,976282750.0,792231940.0,789141300.0,883168800.0
2037.0,661233300.0,869588350.0,905975300.0,973217700.0,772082400.0,772453950.0,870285440.0
2038.0,639693800.0,864391700.0,894002900.0,961873400.0,747230400.0,759362000.0,854569500.0
2039.0,593525500.0,837316160.0,876168700.0,953887700.0,727156740.0,746027260.0,852829600.0
2040.0,551515260.0,819685100.0,864515260.0,948119000.0,715780500.0,737170940.0,823366850.0
2041.0,522701060.0,827319000.0,852303360.0,944310850.0,697205100.0,724263600.0,805002300.0
2042.0,508249060.0,833629250.0,838551940.0,927311360.0,686692500.0,703974140.0,786697860.0
2043.0,493396670.0,811332200.0,822465500.0,918750660.0,664755700.0,691297340.0,770122100.0
2044.0,476460030.0,811669060.0,812626800.0,928634430.0,648200000.0,666866700.0,748562100.0
2045.0,458366750.0,788905600.0,795069440.0,910470400.0,626731260.0,656523700.0,752349760.0
2046.0,439810720.0,771006850.0,779952300.0,896493630.0,613878100.0,646690200.0,731715700.0
2047.0,417005660.0,777959230.0,767238200.0,952520500.0,585287000.0,636857150.0,721002430.0
2048.0,399047420.0,759620030.0,742631550.0,892708600.0,561071100.0,618982000.0,702166600.0
2049.0,387589020.0,738343400.0,722770500.0,877536100.0,547895360.0,602255100.0,673183400.0
2050.0,377020220.0,729134600.0,716040400.0,866818200.0,535544900.0,580213060.0,686367940.0
2051.0,359817180.0,718415500.0,705529800.0,860896450.0,533953250.0,573020800.0,703365400.0
2052.0,348041400.0,711553500.0,694890400.0,855266500.0,523018700.0,555707700.0,644123200.0
2053.0,341591520.0,719984700.0,677411800.0,839337540.0,513174270.0,542591400.0,623724500.0
2054.0,339366530.0,704205250.0,660477250.0,828127400.0,495084800.0,532434980.0,665979140.0
2055.0,318374880.0,693190000.0,631549400.0,807467260.0,479863460.0,519539970.0,600107900.0
2056.0,306211400.0,682168500.0,615776960.0,793685950.0,470423300.0,517280030.0,584833900.0
2057.0,325374270.0,704870700.0,592319600.0,789203400.0,468472420.0,498255260.0,566829760.0
2058.0,295482600.0,676534300.0,575693800.0,778916900.0,453451840.0,489983140.0,557357440.0
2059.0,290136420.0,731610000.0,553255740.0,769510340.0,443198100.0,491520260.0,544578050.0
2060.0,285283620.0,663590460.0,535795360.0,761488200.0,438409200.0,478954700.0,647367040.0
2061.0,273478620.0,650446200.0,523296540.0,760546940.0,431862460.0,468803200.0,537887740.0
2062.0,272116160.0,644160200.0,512277220.0,743000500.0,423552540.0,457360420.0,526141630.0
2063.0,263682720.0,637866300.0,494099550.0,726874200.0,412625200.0,453036450.0,518598180.0
2064.0,255394720.0,781284600.0,483972000.0,709576400.0,406600830.0,438916320.0,506445700.0
2065.0,250147710.0,629286100.0,469490720.0,711740700.0,399839840.0,429706850.0,503020580.0
2066.0,241717360.0,670262700.0,459362460.0,703311300.0,393761060.0,409556450.0,493875940.0
2067.0,239807760.0,623211800.0,454369340.0,686386240.0,386709860.0,404681760.0,489559070.0
2068.0,233027140.0,615482050.0,468617000.0,669757700.0,380522050.0,394940640.0,484457730.0
2069.0,228859360.0,613065200.0,442249760.0,649105200.0,386878900.0,388687040.0,523118460.0
2070.0,233506540.0,603736640.0,430747040.0,635993300.0,369045660.0,383499300.0,473480320.0
2071.0,220141280.0,633639040.0,419391170.0,617761800.0,360202000.0,375344320.0,462786600.0
2072.0,216044340.0,605920960.0,412932830.0,595701800.0,351732400.0,365292500.0,453831000.0
2073.0,211128240.0,602903400.0,408409860.0,583237100.0,347270530.0,356449300.0,446163970.0
2074.0,210451470.0,591992900.0,405744960.0,574924000.0,342453380.0,347403780.0,439140770.0
2075.0,200363460.0,583618370.0,397736320.0,555142200.0,335670620.0,342025380.0,432624400.0
2076.0,194053980.0,581485900.0,398063500.0,539520640.0,329736160.0,334858200.0,431356860.0
2077.0,187220130.0,571202700.0,390311260.0,538068030.0,322357150.0,329253220.0,431584540.0
2078.0,180442990.0,566231040.0,381796960.0,530079940.0,317745570.0,317229600.0,420883070.0
2079.0,172444270.0,595562400.0,375022400.0,520553440.0,308258240.0,311667360.0,414897950.0
2080.0,167358690.0,554840600.0,381028670.0,506296900.0,301849000.0,301010300.0,406663230.0
2081.0,159246670.0,551518460.0,364457570.0,496554050.0,296568300.0,291818270.0,399027940.0
2082.0,157307780.0,552228900.0,368156320.0,484385900.0,291316600.0,281616000.0,392520100.0
2083.0,149389540.0,540942600.0,369459100.0,469962050.0,284879970.0,270876640.0,383706500.0
2084.0,142647900.0,534643700.0,356113660.0,463296500.0,281957120.0,261124690.0,382596320.0
2085.0,138678370.0,523620450.0,345958800.0,453592540.0,275959870.0,263292300.0,371375170.0
2086.0,134967180.0,514598340.0,341359100.0,441232770.0,272203000.0,257338380.0,365997500.0
2087.0,130346240.0,508301250.0,336617150.0,435505900.0,265328030.0,246729250.0,362264450.0
2088.0,125273790.0,500549060.0,333683230.0,428083740.0,256007790.0,236637330.0,343406270.0
2089.0,118946010.0,497762800.0,338156800.0,419401860.0,251261760.0,226707020.0,328856320.0
2090.0,115375050.0,491051400.0,341042370.0,414921800.0,246382820.0,220308580.0,324589800.0
2091.0,115757430.0,521427780.0,333670600.0,411154880.0,241913020.0,216470830.0,309421200.0
2092.0,107925736.0,481822080.0,323364130.0,399018000.0,237039820.0,205808620.0,298116540.0
2093.0,101289240.0,471404670.0,315842180.0,388107680.0,239920600.0,196767600.0,282878370.0
2094.0,99805700.0,475578020.0,310969000.0,377910400.0,233390240.0,194952830.0,268669730.0
2095.0,93645980.0,451355070.0,308114370.0,379291300.0,229290380.0,185691650.0,265151580.0
2096.0,87774344.0,447697000.0,306638620.0,367839000.0,221182190.0,181540940.0,261674740.0
2097.0,81098130.0,441341120.0,303427600.0,365854600.0,214847000.0,175500940.0,256650540.0
2098.0,77593150.0,432367100.0,297653340.0,354195330.0,212659740.0,173126830.0,251161300.0
2099.0,74738410.0,424117700.0,293314340.0,349477380.0,207039710.0,170409730.0,242949730.0
2100.0,71927550.0,423434560.0,294453540.0,342667000.0,202765460.0,163517700.0,235249620.0
